"","V1","V2","V3","V4"
"Abaeté@MG",486.621342218542,112.99652277963,535.660010034581,113.204914949019
"Abaetetuba@PA",424.013747987172,85.8758959029088,421.320191560344,104.573710139617
"Abreu e Lima@PE",430.990539471802,99.8921186361828,286.211842140976,147.762840589023
"Açailândia@MA",427.731488102655,96.6079040071329,397.058486864443,58.5330789079861
"Acará@PA",409.028421513591,76.2447574655378,430.144698135259,38.0174557442836
"Acarape@CE",429.251913524232,79.0036104453451,381.78700362908,45.6915349143027
"Acaraú@CE",430.021177227841,105.488832920347,461.128036240067,109.293877399701
"Acari@RN",441.411301189844,97.4321338028846,338.916480015105,166.588990457375
"Acopiara@CE",422.000995284664,101.340276238283,453.095982083793,98.5623556143126
"Acrelândia@AC",432.213862664205,84.6557934261176,375.2,3.04258581680028e-15
"Acreúna@GO",440.549833878032,90.147768294071,441.891146244053,159.756922105884
"Açu@RN",420.033587239567,108.488598971615,433.699796197505,79.5388642760297
"Açucena@MG",477.017266944912,93.0693298617497,414.588274206082,44.6434361518156
"Adamantina@SP",469.009614574136,122.120873533694,450.943934275724,85.5594023559603
"Afogados da Ingazeira@PE",443.986634528831,104.477441740113,456.253813247223,143.096263445026
"Afonso Cláudio@ES",468.422454434965,108.993563119982,423.084669084199,55.487900759495
"Afrânio@PE",437.260520786758,91.6408843672193,336.251166676996,9.54993438953742
"Água Boa@MT",428.115276468116,109.483301577173,283.569301353241,280.782485150277
"Água Branca@AL",415.212707343761,89.0664171353102,441.204309163187,65.37107762707
"Água Branca@PI",418.572635108125,87.3030447170562,406.001452379338,38.7099116792571
"Água Clara@MS",420.931578440494,84.5443181806886,439.9,1.5956763349247e-24
"Água Doce do Norte@ES",431.252733894725,105.407428642137,341.850057306305,5.04950510961288
"Água Preta@PE",418.494693597026,87.4540473948296,347.8,4.85233496552523e-16
"Águas Formosas@MG",436.299625621758,96.7024024303596,430.398050411168,14.6994394887176
"Águas Lindas de Goiás@GO",422.396051915631,84.8598661768302,421.493002945719,57.1013494991701
"Agudos@SP",479.327163972398,106.473519830118,493.9,1.39739344963729e-24
"Aimorés@MG",487.333071168652,116.852845546201,468.536960606039,106.410369790084
"Alagoa Grande@PB",424.647330265907,96.1011582570512,405.128655347316,41.5558857167795
"Alagoa Nova@PB",421.829302354032,98.9202601458533,372,1.85212312657739e-23
"Alagoinha@PB",406.286480347731,91.7913181272356,432.127344775063,60.7879871781501
"Alagoinhas@BA",427.262320438828,110.711682369242,407.343240266628,49.5297469378224
"Alcântara@MA",419.516649824629,83.9747264882014,468.536960606039,106.410369790084
"Alegre@ES",469.768739432303,126.497619159978,463.297504168595,107.149616614864
"Alegrete@RS",440.194412874065,110.754710686904,414.153460171767,96.5974158968374
"Além Paraíba@MG",474.540845235322,128.095979845157,418.918925957068,55.3803071091064
"Alenquer@PA",409.457882194797,72.6079521876374,405.133757510053,59.639627604239
"Alexandria@RN",421.445303606414,100.280576225232,521.580120019034,99.5884727498077
"Alexânia@GO",433.976355336288,95.5771774290228,393.1,6.65607985675414e-25
"Alfenas@MG",476.973778593733,120.846042279908,410.320140307037,94.2016417908328
"Alhandra@PB",408.969351873469,80.0421479962735,382.411500535112,32.3956196401757
"Aliança@PE",428.78249027058,87.7507421342518,394.966650973952,4.46071497626464
"Almeirim@PA",410.863648414478,69.2820529131088,401.1,2.08340671469646e-20
"Almenara@MG",444.020730335189,94.913076150954,415.640008950028,55.0742635454341
"Almirante Tamandaré@PR",437.54532820559,99.4351021587627,447.403669408961,93.2808653917129
"Alpinópolis@MG",489.660742140289,121.486812373184,482.431657809373,57.7206618500091
"Alta Floresta D'Oeste@RO",429.444370264713,88.0507598794756,407.665104286625,119.262946783531
"Alta Floresta@MT",431.671639138771,101.020727176453,396.077977295249,82.1888532942993
"Altamira@PA",417.679344682525,88.5356339657753,395.869302980508,55.2784204800502
"Alto Alegre@RR",407.01028580687,71.104043637342,468.536960606039,106.410369790084
"Alto do Rodrigues@RN",418.474319451969,94.4585312478021,471.463006011941,72.6505277478994
"Alto Paraíso@RO",407.047531546518,97.896908327534,345.1,5.68143531990894e-21
"Alto Santo@CE",406.730458289757,92.4628407593225,474.595464680224,31.5049231053641
"Altos@PI",418.737514469466,95.7889150529938,418.022734289638,88.0426124166495
"Alvarães@AM",400.213141189733,71.6067795270341,468.536960606039,106.410369790084
"Alvinópolis@MG",459.446211760418,104.29417977451,481.111138388512,42.8704858738884
"Alvorada D'Oeste@RO",429.507926085872,85.9431818917944,362.396281050911,27.8253361367824
"Alvorada do Sul@PR",448.404088080412,109.765764702878,374.570095527723,34.5708023025035
"Alvorada@RS",445.063061789384,94.7356557276545,433.259838853841,73.8746094881906
"Amambai@MS",435.222170093151,101.384506048393,453.740753045889,57.3523681334927
"Amapá@AP",402.620705153032,69.6491233781579,360.550062846431,95.0738893529369
"Amarante do Maranhão@MA",413.296822824535,89.659739955615,370.433284705302,31.8038851546203
"Amarante@PI",412.080433718028,78.6494302969402,265.451304341379,124.142386384013
"Amargosa@BA",411.9813575131,99.2564116093458,435.788067733954,39.5675877192562
"Amélia Rodrigues@BA",422.154820052571,107.805505073627,396.606102844212,74.9317604387789
"Americana@SP",499.891768812725,131.052471556367,409.404381899145,124.580671960252
"Amontada@CE",417.79649635644,96.4564901391971,420.321251133272,43.4382481179516
"Amparo@SP",496.364898035764,127.86423820108,369.296350255607,125.303995787404
"Ampére@PR",468.708756206501,109.174606148315,477.953979991583,96.4579757425994
"Anagé@BA",420.748818326954,80.2810608611082,495.112492407659,47.5041968337716
"Anajás@PA",407.24266094273,71.6022586552613,455.2,5.68411309946032e-14
