"","Row.names","x","y"
"1","Abaeté@MG",41137.1371460026,1132405.55248073
"2","Abaetetuba@PA",19803.510054479,12302.730247185
"3","Abreu e Lima@PE",26712.7905115245,5270.70016669583
"4","Acará@PA",11949.7757751267,2587.81638476925
"5","Acaraú@CE",42796.3349878848,243076.969574091
"6","Acopiara@CE",37440.6550357046,84863396.3654884
"7","Acrelândia@AC",22570.770652103,1965104.16945864
"8","Acreúna@GO",20404.9602311661,1163.50293451217
"9","Açu@RN",33397.8596218052,30402.7027043801
"10","Afogados da Ingazeira@PE",35011.8515855855,31277.3874611902
"11","Afonso Cláudio@ES",47737.4178778792,1598.49152847671
"12","Água Branca@AL",34408.8008580308,101699.6165557
"13","Água Branca@PI",27476.7582675476,7265.6263928374
"14","Água Clara@MS",27375.613853668,2372513468.28273
"15","Água Doce do Norte@ES",27353.8095505094,15812.766751962
"16","Águas Formosas@MG",29960.6273516327,76139.6256995047
"17","Águas Lindas de Goiás@GO",19413.0078343918,24769.7316407252
"18","Aimorés@MG",31972.5100568752,96045.6769908412
"19","Alagoa Grande@PB",29434.3933587573,1587.64915954298
"20","Alagoa Nova@PB",33836.5319299596,3433.99526300668
"21","Alagoinha@PB",20497.9399431154,4919.39095734421
"22","Alagoinhas@BA",42346.1641056314,11361.9804629144
"23","Alegre@ES",49267.6742681766,298354.3009346
"24","Alegrete@RS",23006.0770025495,39391.4693551844
"25","Alexandria@RN",45322.4860603254,122026.008807548
"26","Alfenas@MG",34436.5594986661,32641.7828220059
"27","Alhandra@PB",15105.8863151245,191.553946347104
"28","Aliança@PE",36661.0296343034,78607.9721764087
"29","Almeirim@PA",7170.58012389987,22649.057393766
"30","Almenara@MG",31247.4050293009,14797.7440646033
"31","Almirante Tamandaré@PR",28129.5568200932,10035.1852778764
"32","Alpinópolis@MG",29029.5873219751,3101.28035689885
"33","Alta Floresta D'Oeste@RO",20123.9239957278,4139.13166291868
"34","Alta Floresta@MT",27258.2769661939,198.1911715513
"35","Altamira@PA",23072.5683952395,10010.4621727121
"36","Alto do Rodrigues@RN",20944.4741804599,232.718386496887
"37","Alto Paraíso@RO",24116.575138708,3042.09994850138
"38","Alto Santo@CE",30130.2349311801,38257.9154417542
"39","Alvinópolis@MG",34113.5491687923,20543.6674599702
