"","Row.names","x","y"
"1","Abaetetuba@PA",19503.4239393689,488864.356906298
"2","Abreu e Lima@PE",23967.0433266477,3117525.19917847
"3","Acará@PA",12945.7125865816,2722.28869882487
"4","Acaraú@CE",24825.5528751115,15337.4622610257
"5","Acopiara@CE",30334.9497006065,10770568.391604
"6","Açu@RN",29780.984333839,38867.7202073321
"7","Afogados da Ingazeira@PE",26814.9615665916,5802.05159942157
"8","Afonso Cláudio@ES",24066.5181895216,11779.801493007
"9","Água Branca@AL",24744.460420156,8256.66812607807
"10","Água Branca@PI",22344.5784207311,19171.523784265
"11","Água Preta@PE",19661.8899349065,82927.4752136173
"12","Águas Formosas@MG",27703.4353912486,1894.23347175148
"13","Águas Lindas de Goiás@GO",15713.2874974321,1916512.68572269
"14","Alagoa Nova@PB",22739.8301584408,1222145.64934744
"15","Alagoinha@PB",40506.3124684942,212665.398300316
"16","Alagoinhas@BA",45001.6579650351,15511.2646450278
"17","Alegre@ES",28686.8400642431,25528.680695217
"18","Alegrete@RS",28406.8847374145,7270.37663610088
"19","Alexandria@RN",27751.2691526214,831189008.749846
"20","Alfenas@MG",26803.9736304375,28147.3892744975
"21","Almenara@MG",25602.1098445656,8999.56662431577
"22","Alpinópolis@MG",21704.7025756104,39676.4520237545
"23","Alta Floresta@MT",20693.1042972068,13271.3176820043
"24","Altamira@PA",24767.718167165,175907.545263789
"25","Alto do Rodrigues@RN",18252.8939760933,3657.22515769537
"26","Alvinópolis@MG",25420.0444783317,1231.19043287255
"27","Alvorada do Sul@PR",28926.5810450152,187222.456797136
"28","Alvorada@RS",15786.8993988315,4406.18013397109
"29","Amambai@MS",67993.7969512308,1499.7883770686
"30","Amarante do Maranhão@MA",27895.1016525659,13572.8653179293
"31","Amarante@PI",31624.724553456,1068847760.29435
"32","Amargosa@BA",60433.2670993867,4512276.48750365
"33","Amélia Rodrigues@BA",33079.866206411,82638868964.2312
"34","Americana@SP",17567.8168824698,54285.5389583707
"35","Amparo@SP",22048.1588351489,9133.46993619524
"36","Ampére@PR",14325.5273337046,5360387.3379425
"37","Ananás@TO",15083.0588032935,66986076728.678
"38","Ananindeua@PA",24112.6020981398,57093.2871474801
"39","Anápolis@GO",35669.0990970865,290470.096614731
"40","Anastácio@MS",38428.1351321054,4197.66679834164
"41","Anchieta@ES",21437.4048999286,314016.300358112
"42","Angicos@RN",56868.7007085279,456.805033851369
"43","Angra dos Reis@RJ",24629.1221425157,277903.75261695
"44","Aparecida de Goiânia@GO",26251.4822333664,214545.463839651
"45","Apiaí@SP",18721.9676616914,2370.85348559537
"46","Apodi@RN",29681.5275374251,16909.1281585797
"47","Apucarana@PR",26535.6770137159,17004.0767193096
"48","Aquidauana@MS",42780.338295195,14534.8652700765
"49","Aracaju@SE",49919.2484195682,238474.421032194
"50","Araçatuba@SP",25751.4798350697,19093.7768760321
"51","Araci@BA",33461.9556448062,1053.26006033256
"52","Aracruz@ES",21723.2994616199,19960.8131852817
"53","Araçuaí@MG",31003.124777485,283477.507746073
"54","Aragarças@GO",18718.7626930464,955.183377505861
"55","Araguaína@TO",32871.3228383315,4352221.91818544
"56","Araguari@MG",22838.6314009005,22608.4390325375
"57","Araguatins@TO",26473.6188347402,9213.16357249209
"58","Araioses@MA",13078.8306395453,71698768.5686394
"59","Arapiraca@AL",31995.8454126298,94760.8705282067
"60","Arapoema@TO",18146.8917575411,2940612.41799532
"61","Arapongas@PR",25939.1981880435,138082.970501907
"62","Araputanga@MT",15411.5096337901,2443.54834115454
"63","Araraquara@SP",20297.5560076306,98818.4903058698
"64","Araras@SP",19150.684755712,128685.031577239
"65","Arari@MA",14426.790963141,16605309.5064039
"66","Araripina@PE",26331.8508267906,1165.59567991624
"67","Araruama@RJ",34271.0407178704,4591.63975040074
"68","Araxá@MG",17301.5273583418,1035516.45774517
"69","Arcos@MG",19775.160701346,41096.5509152794
"70","Arcoverde@PE",30206.4594227951,8347857.60724196
"71","Areado@MG",21754.4861665391,53862.3276134115
"72","Areia Branca@RN",24142.811897309,1179959.21129932
"73","Arinos@MG",32885.8880377673,508.629942486083
"74","Ariquemes@RO",21147.6866531991,8874373.24851115
"75","Aroeiras@PB",23246.9400444919,19782.8914130027
"76","Arraias@TO",42503.485673688,22686.2872022311
"77","Artur Nogueira@SP",26732.1853727798,18190.8631165029
"78","Arujá@SP",26188.7077257552,9681.42824087546
"79","Assaré@CE",29398.9214197373,1406.33456493022
"80","Assis Chateaubriand@PR",33694.5042336279,6673.33411314381
"81","Assis@SP",19776.8218305245,9499.15259472532
"82","Astorga@PR",28035.5510617993,192076.382231398
"83","Atalaia@AL",12896.9407534646,806.942246632199
"84","Atibaia@SP",23405.8076002104,84345.6335912661
"85","Augusto Corrêa@PA",15709.2971977014,32774.6785531033
"86","Auriflama@SP",20453.1693578048,34091455.9109009
"87","Aurora@CE",29375.2034197141,202642.221464434
"88","Avaré@SP",20832.2740511887,302345.177641727
"89","Bacabal@MA",34196.6628270094,10833.5939962067
"90","Baependi@MG",24248.8782117914,196911.939749227
"91","Bagé@RS",25890.5603312388,4881724.7341005
"92","Baião@PA",10278.7664743941,248.470454239686
"93","Balneário Camboriú@SC",26990.1952615487,11910.6138811311
"94","Balsas@MA",35914.3080728107,6710.10625633732
"95","Bambuí@MG",26395.3756362588,19357.9860921322
"96","Bananeiras@PB",39739.2644730896,2817.07782605179
"97","Bandeirantes@PR",32345.560680453,1198501.30839567
"98","Barão de Cocais@MG",22110.3455648658,65829290842854.3
"99","Baraúna@RN",24510.7690930976,3885.68408377056
"100","Barbacena@MG",25317.5131902112,27168.808563537
"101","Barbalha@CE",53034.8243245073,66572.9140725987
"102","Barcarena@PA",18237.3886693699,61664.4370590361
"103","Barra Bonita@SP",19371.8926205943,1780.63477936965
"104","Barra de São Francisco@ES",24738.5864116709,1859507.20811692
"105","Barra do Corda@MA",29459.6989103545,11710.9790271526
"106","Barra do Garças@MT",40662.9924380241,261183.867059434
"107","Barra Mansa@RJ",27440.1232171267,17657.9079334198
"108","Barra@BA",21519.0294888156,180.879073333409
"109","Barras@PI",29356.099159381,1585708.78399961
"110","Barreiras@BA",38536.3709762094,110665.18077805
"111","Barreirinhas@MA",23782.5457242213,809025.882778927
"112","Barreiros@PE",21269.4195627513,12683.2627929814
"113","Barrinha@SP",14071.2870100556,10345375210263.3
"114","Barueri@SP",21228.9999282038,157257.528442474
"115","Batalha@PI",22703.51637249,13769.278510156
"116","Batatais@SP",23548.3824457611,114104.479785654
"117","Bauru@SP",21563.5170110619,74241.7866088396
"118","Bayeux@PB",23179.3882564915,8287.16108734429
"119","Bebedouro@SP",18978.0187658388,136448.086873
"120","Beberibe@CE",29631.1028336813,2406.8074537629
"121","Belém@PA",32984.7472165027,216773.008799485
"122","Belford Roxo@RJ",23945.9147108191,143540.601421329
"123","Belo Horizonte@MG",30148.6426164683,29130.5453607093
"124","Belo Jardim@PE",22670.040533066,722720.475465767
"125","Benevides@PA",13693.3408928989,205023.088530892
"126","Bento Gonçalves@RS",19839.4856262354,11906235.1248543
"127","Betim@MG",22388.9442479522,197887.63300022
"128","Birigui@SP",24748.8279630056,171588.980602637
"129","Blumenau@SC",19438.5787391941,40003.0316494164
"130","Boa Esperança@MG",23667.0608268358,23655.2276538232
"131","Boa Vista@RR",34672.8505965392,45552.8497908729
"132","Bocaiúva@MG",40665.3421849704,5300.71429747604
"133","Bodoquena@MS",37840.443492062,544202.796471032
"134","Bom Despacho@MG",26863.2512447337,59868.4606730549
"135","Bom Jardim@MA",42363.3809471159,27.3202502565124
"136","Bom Jardim@PE",25341.1613959348,6887.39817455539
"137","Bom Jesus do Itabapoana@RJ",21148.5114478754,17015.6264992577
"138","Bonito@MS",29054.6185822424,118161.261200475
"139","Bonito@PE",22338.1478455937,5674.50675355542
"140","Boqueirão@PB",26564.7946499113,49078.8779838759
"141","Boquim@SE",35588.7979157871,955605588392.595
"142","Botucatu@SP",15800.6724934936,88573.1340071384
"143","Bragança Paulista@SP",25143.4262456935,378915.11904885
"144","Bragança@PA",22479.4902797848,20580.7046180991
"145","Brasiléia@AC",14414.9529509974,2201.6452363509
"146","Brasília de Minas@MG",31912.5461482345,7658.77082821953
"147","Brasília@DF",44925.0564419927,411048.597221402
"148","Brasnorte@MT",23060.379121205,378986.749816291
"149","Brejo da Madre de Deus@PE",26383.5012091823,127264.586650259
"150","Brejo Santo@CE",34005.6007136745,7647.94081337366
"151","Breu Branco@PA",15950.1432489272,3326.03072587148
"152","Breves@PA",11669.3919797198,10336.5046821375
"153","Brumadinho@MG",27547.0127247008,176151.718786728
"154","Brumado@BA",26410.05492054,4332.92504040736
"155","Brusque@SC",24505.0091312446,15529.5467008609
"156","Buerarema@BA",38588.5263938896,40293.3760500424
"157","Buriti dos Lopes@PI",23764.2891078164,69858.6697742052
"158","Buriticupu@MA",18184.2802290486,111618.615372787
"159","Buritis@MG",20822.7725032311,222836152.08933
"160","Buritis@RO",19570.4928648982,26358.951694627
"161","Butiá@RS",20010.6496522389,233566.758555114
"162","Cabo de Santo Agostinho@PE",21850.6139263434,29956.7965273397
"163","Cabo Frio@RJ",23551.5769616626,12316894.3124479
"164","Cabrobó@PE",19590.5504273332,56880.4805213721
"165","Caçapava@SP",23201.6345613471,7751390.0779252
"166","Cáceres@MT",44895.5523002297,1322226.49823214
"167","Cachoeira do Sul@RS",25628.2810945856,174.33308032893
"168","Cachoeira@BA",32236.5054295968,36679.2390081309
"169","Cachoeiras de Macacu@RJ",32653.3782761191,281663.914979198
"170","Cachoeiro de Itapemirim@ES",30506.3091730845,481285.635849074
"171","Cacimba de Dentro@PB",19562.2630868906,259.67275421455
"172","Cacoal@RO",26014.4048042487,15248.1197961956
"173","Caculé@BA",21352.535670586,167191.406721039
"174","Caeté@MG",25845.879451818,7346.82334719046
"175","Caetité@BA",46634.778497045,123061.117960583
"176","Caicó@RN",31177.7553540793,83494.1037561545
"177","Caieiras@SP",22345.7975523551,17477.2420150764
"178","Cajamar@SP",18004.0556167992,81038.6642885219
"179","Cajazeiras@PB",39192.65967959,7549.50575629822
"180","Cajuru@SP",34029.1864612865,20057115867.7206
"181","Caldas Novas@GO",20135.9422693227,284442.297568055
"182","Camacan@BA",33281.5134037377,442498950958.757
"183","Camaçari@BA",22986.4620787327,11773.0687930916
"184","Camaquã@RS",19003.0114291324,38066.857277655
"185","Camaragibe@PE",29621.8552015415,117339.498290625
