"","C","D"
"Brejo da Madre de Deus@PE",-180.15099292253,133.573660612136
"Brejo Santo@CE",1358.58314773823,-632.308249128221
"Breu Branco@PA",-241.47304755962,97.3438060344245
"Breves@PA",-108.241350534836,68.0971704443259
"Brumadinho@MG",14.0308705061009,-5.88663838937253
"Brumado@BA",284.892724966311,-70.6748250739059
"Brusque@SC",406.174075152008,-67.9645042539171
"Buerarema@BA",1171.55236162326,-514.235600746108
"Buriticupu@MA",29.1158676384253,-53.8937269052732
"Buritis@MG",738.87868190302,-457.00446837993
"Cabo de Santo Agostinho@PE",-462.622488532851,199.531980321168
"Cabo Frio@RJ",-688.61254970132,291.267098026484
"Cabrobó@PE",-262.382441769039,58.5136133636647
"Caçapava@SP",604.411280907995,-272.499074571993
"Cáceres@MT",-371.504811166292,145.671922818486
"Cachoeira do Sul@RS",-315.572595485372,151.365926258672
"Cachoeira@BA",-155.388878643961,120.325428986169
"Cachoeiras de Macacu@RJ",-1101.82148873278,509.336759326399
"Cachoeiro de Itapemirim@ES",-1180.41891269175,357.099118472395
"Cacimba de Dentro@PB",-834.864464145043,337.63218990029
"Cacoal@RO",225.189137125317,-81.2667514541624
"Caculé@BA",-192.346109519516,111.884972713264
"Caeté@MG",930.381324722904,-552.28870386989
"Caetité@BA",-1066.32517549449,511.959406191258
"Caicó@RN",-493.613056482914,226.062191931891
"Caieiras@SP",2226.73398952035,-775.718633916676
"Cajamar@SP",-202.924225149093,123.711242841703
"Cajazeiras@PB",-225.477415136029,104.05813948617
"Cajuru@SP",301.300435097651,-157.852111006377
"Caldas Novas@GO",795.158526975293,-261.920939059476
"Camacan@BA",133.723063098021,-48.4870012532629
"Camaçari@BA",-38.2815627900663,43.9318655832213
"Camaquã@RS",-178.278564468577,106.554887540158
"Camaragibe@PE",564.298636578767,-215.021309443716
"Cambé@PR",-907.63593892471,473.268548701208
"Camboriú@SC",2382.72329515183,-626.167033695686
"Cambuí@MG",239.214095660454,-105.622736628702
"Cametá@PA",-150.102810670372,73.3686185143041
"Campina Grande@PB",271.345839433956,-116.288878307041
"Campinas@SP",673.929639114692,-219.818004783683
"Campo Belo@MG",-738.762097679539,388.535176661473
"Campo Bom@RS",732.442528091311,-233.349762249092
"Campo do Brito@SE",-239.621811733127,113.858562608877
"Campo Formoso@BA",592.369835524468,-267.668478585501
"Campo Grande@MS",-2250.74433835709,835.638528307247
"Campo Largo@PR",-1285.97040392062,651.119755018034
"Campo Mourão@PR",260.871925781167,-128.726944216072
"Campo Verde@MT",-48.233578902515,2.15191585428525
"Campos dos Goytacazes@RJ",305.827702463747,-101.841118067332
"Campos Gerais@MG",-286.109704341866,181.737178565525
"Campos Sales@CE",1000.61422280935,-420.172159465
"Canaã dos Carajás@PA",1377.35399804631,-396.222923762391
"Candeias@BA",4.6219129823624,17.6493267924439
"Cândido Sales@BA",326.640148021057,-88.7609082283415
"Canela@RS",-1403.31039485784,611.458139826022
"Canguaretama@RN",-1078.44813281005,366.016577199259
"Canguçu@RS",226.150569191738,-109.527436801626
"Canindé de São Francisco@SE",-219.747455072211,76.5989698586185
"Canoas@RS",327.015486734416,-132.44310309779
"Capanema@PA",2.22625675904715,12.628677014793
"Capanema@PR",955.458047707591,-510.990246415183
"Capão da Canoa@RS",290.369085510593,-102.545139243452
"Capela@SE",-76.0623008649193,21.162423917152
"Capelinha@MG",-498.526324597222,214.316002360688
"Capim Grosso@BA",79.2374172523815,-33.3001374877647
"Capitão Poço@PA",-292.712182980679,132.633010666946
"Caraguatatuba@SP",190.308209404428,-32.866343296393
"Carangola@MG",-1363.07875191797,574.268291509994
"Carapicuíba@SP",611.464466595563,-108.802364419831
"Caratinga@MG",548.238399799912,-320.440908142629
"Caraúbas@RN",17.2944296468166,16.0894326921674
"Carazinho@RS",-37.6470724652555,28.7066074331456
"Cariacica@ES",-43.9187511035863,45.117787700992
"Cariré@CE",-549.203693051413,177.82811874013
"Carlos Chagas@MG",1245.18660362143,-711.532945810437
"Carmo do Paranaíba@MG",737.78288026146,-395.743305121067
"Carpina@PE",-264.834744229033,183.582338657464
"Caruaru@PE",-364.897020939458,205.328124712762
"Casa Nova@BA",897.628238482735,-555.623519228495
"Cascavel@CE",-300.557151278799,137.654211012259
"Cascavel@PR",-265.862070808274,127.582673219341
"Castelo@ES",1699.78748927675,-385.480388884049
"Cataguases@MG",-119.016073681949,38.1204384388736
"Catalão@GO",-527.485354522439,278.256229577755
"Catolé do Rocha@PB",160.072694978766,-81.0408476574789
"Catu@BA",55.8394529570109,10.9007610033388
"Caucaia@CE",-377.156874690507,168.197654434526
"Caxambu@MG",1061.49582238061,-594.677791827408
"Caxias do Sul@RS",-417.853927346753,185.466899186769
"Ceará-Mirim@RN",409.207687201477,-113.116880122218
"Cedro@CE",-19.7703475049175,40.0801042590577
"Cerejeiras@RO",357.416489282406,-185.672366956898
"Ceres@GO",692.214127146455,-306.26872822077
"Cerro Largo@RS",-681.150326783191,372.41251856685
"Chapadão do Sul@MS",-33.8725070673768,-43.5645540276731
"Chapadinha@MA",-237.46568978277,103.125549496272
"Charqueadas@RS",-508.836029950615,140.829535075672
"Chopinzinho@PR",1286.83778649082,-818.403319461484
"Cianorte@PR",-722.085408871229,393.19008363457
"Cidade Ocidental@GO",-269.179795242405,90.5498023117999
"Coari@AM",-334.552037692565,153.872691718837
"Codó@MA",13.5852267599506,8.40826345544263
"Coelho Neto@MA",378.767701636953,-115.821924169654
"Colatina@ES",-168.906276442406,137.035056511228
"Colíder@MT",-511.441526929733,207.86523605111
"Colorado@PR",414.40935204287,-201.620048980107
"Comodoro@MT",-1962.16028644311,788.399545268779
"Conceição do Araguaia@PA",170.641370711233,-54.7524731111889
"Conceição do Coité@BA",674.3448706936,-390.371590997399
"Conceição do Jacuípe@BA",-1672.4172700707,850.200994581584
"Conceição do Mato Dentro@MG",367.002647236482,-163.112810129437
"Concórdia@SC",-3329.38275531112,1130.93311184097
"Conselheiro Lafaiete@MG",-567.357386176614,239.473437620702
"Conselheiro Pena@MG",-126.551535009048,44.434647012946
"Contagem@MG",153.140012639488,-6.88191867187355
"Cornélio Procópio@PR",-405.521324594851,259.725906682865
"Coroatá@MA",167.205042515403,-52.6104207835124
"Coromandel@MG",-48.9695231357613,-21.3516009428861
"Coronel Fabriciano@MG",1048.47244930448,-493.689824459401
"Corrente@PI",384.721399717685,-196.386074385254
"Cosmópolis@SP",499.76212462215,-216.863822145258
"Cotia@SP",-277.622678237198,121.635103632824
"Coxim@MS",-660.37885876199,292.078698301957
"Crateús@CE",638.033015407035,-251.881808922723
"Crato@CE",-93.9086757158176,45.1158257935085
"Criciúma@SC",3.24202913196297,-5.99196288488025
"Cristalina@GO",-918.85965696143,457.419868447753
"Cruz Alta@RS",2011.49561015973,-993.428848295496
"Cruzeiro do Sul@AC",-53.8986306609914,30.1570819749989
"Cruzeiro@SP",557.107136031345,-298.998791705136
"Cubatão@SP",755.08335769529,-193.943421744848
"Cuiabá@MT",-892.559914341534,458.425856053558
"Cuité@PB",-536.352781705936,213.72694977353
"Curitiba@PR",52.4678239912228,23.909067996758
"Curitibanos@SC",-414.816015086161,204.076216517066
"Currais Novos@RN",-394.666290836941,194.308824535986
"Curuçá@PA",-432.757051270121,187.138378039909
"Curvelo@MG",1277.19006202955,-521.068977659395
"Custódia@PE",-172.987278361127,84.2498575116243
"Delmiro Gouveia@AL",4559.87265204497,-1577.86724210748
"Diadema@SP",-914.382236554003,357.148973765725
"Diamante@PB",158.928571667031,-69.2179655302949
"Diamantina@MG",62.8404651449667,-44.9623554765396
"Dias d'Ávila@BA",-50.2607764157934,42.8865381374112
"Divinópolis@MG",409.120032354671,-194.678749690966
"Dois Vizinhos@PR",-656.919630118916,388.871030284781
"Domingos Martins@ES",-396.0801587624,176.161912381633
"Dourados@MS",21.0735754181147,29.9513823494853
"Dracena@SP",1445.297921422,-564.086150647694
"Duque de Caxias@RJ",-76.4591763100074,53.9832169210726
"Eldorado do Sul@RS",-232.384431732256,53.079601312082
"Embu-Guaçu@SP",-136.686358773811,55.7940287645268
"Embu das Artes@SP",-485.809613710717,140.698159439814
"Entre Rios de Minas@MG",-457.768296710081,306.669405297443
"Erechim@RS",684.546152729128,-256.989127338496
"Escada@PE",-833.766375778636,333.93812734491
