"","C","D"
"Moju@PA",73.080807223169,-17.6286305554629
"Monte Alto@SP",426.943898254992,-174.231969572825
"Monte Aprazível@SP",770.886151626934,-436.502839727109
"Monte Azul@MG",-167.365804376502,88.751373351621
"Monte Carmelo@MG",-305.089045379058,168.158710358137
"Monte Sião@MG",391.97367209267,-129.540727798807
"Monteiro@PB",-4.52825557080699,33.6036361703455
"Montenegro@RS",887.272581541998,-367.411819174261
"Montes Claros@MG",-12.6890105783179,27.9199390545748
"Morada Nova@CE",-373.217650442067,154.769969786436
"Moreno@PE",-703.771968003078,326.373823119057
"Morrinhos@GO",-291.363200463623,140.917064008905
"Mossoró@RN",-563.326247193582,222.06688961665
"Muriaé@MG",619.625195959285,-252.173383793846
"Mutuípe@BA",-697.872926371736,250.049501672535
"Muzambinho@MG",510.290332405871,-357.118572780182
"Nanuque@MG",-645.50655120337,368.432476513904
"Natal@RN",199.637483305366,-53.3020263547111
"Navegantes@SC",-492.518445407632,177.492876073756
"Naviraí@MS",-417.650553203211,199.588592216239
"Nazaré da Mata@PE",190.834536124374,-92.7084412608428
"Nazaré@BA",416.462884399131,-161.216985164613
"Nerópolis@GO",560.015447063332,-154.057498578853
"Nilópolis@RJ",168.463320950324,-93.7575725158829
"Nísia Floresta@RN",-762.093527351062,257.743353250675
"Niterói@RJ",-406.140690476798,242.255378881519
"Nossa Senhora da Glória@SE",1186.15659209084,-503.263029500715
"Nossa Senhora das Dores@SE",4.02412502252494,0.0544667232699864
"Nossa Senhora do Socorro@SE",-761.000855082456,283.622655272471
"Nova Andradina@MS",619.113912807385,-235.815872218354
"Nova Cruz@RN",-88.0648581310417,-0.755508215502162
"Nova Era@MG",-69.0460458182654,19.6895789955815
"Nova Friburgo@RJ",-959.422944324587,486.185817805155
"Nova Iguaçu@RJ",54.5967645573347,-9.39431372789251
"Nova Lima@MG",461.902205951974,-235.954801299873
"Nova Odessa@SP",1063.34008624603,-499.26591313282
"Nova Olinda@CE",332.011139205836,-127.252418052393
"Nova Prata@RS",-3071.30067397275,1168.525350087
"Nova Russas@CE",82.2967564647621,-35.3830462704996
"Nova Serrana@MG",-1038.00842465029,650.479877100407
"Novo Gama@GO",-61.127733469064,25.0600863265703
"Novo Hamburgo@RS",-734.973148173562,328.162752531221
"Óbidos@PA",206.608343182647,-58.4234069060648
"Olho d'Água das Flores@AL",384.342687546946,-149.377442605529
"Olímpia@SP",-621.854187087901,290.358728887252
"Olinda@PE",-24.9209495592386,25.2470016150229
"Oliveira@MG",321.750720229281,-87.942143442809
"Oriximiná@PA",-662.046600425319,293.583647605757
"Orlândia@SP",-36.3072019967031,27.8186919184074
"Orleans@SC",-1326.2246016323,482.138927539737
"Orobó@PE",-33.5244557587169,-32.2523673398188
"Osasco@SP",-1364.31640508034,499.606332337582
"Osório@RS",943.125185696431,-373.282314883129
"Osvaldo Cruz@SP",-238.257835529794,204.080744874465
"Ouricuri@PE",-46.3841137749227,49.3360912247672
"Ourinhos@SP",-1056.7159797323,524.714591688824
"Ouro Branco@MG",508.899526738642,-329.05268569952
"Ouro Preto do Oeste@RO",-946.018037338716,340.074965327775
"Ouro Preto@MG",-187.47712115339,133.553186857089
"Pacajus@CE",268.743112418882,-113.879322077918
"Pacatuba@CE",17.9585839534269,4.74051991868895
"Paço do Lumiar@MA",380.308271909642,-144.291926142092
"Palhoça@SC",-41.4667324438737,58.5102700648753
"Palmares@PE",-530.701588090024,241.442992374825
"Palmas de Monte Alto@BA",220.790347683482,-100.493086353247
"Palmas@TO",-345.368241378355,148.391247771208
"Palmitos@SC",-2045.17746989172,547.84937539973
"Palotina@PR",-514.093320271609,286.702170790032
"Panambi@RS",-388.403929776092,157.147550237584
"Pará de Minas@MG",-1197.69226719385,590.132865322453
"Paracatu@MG",352.681546460961,-193.063716964376
"Paragominas@PA",-361.244640315966,132.105126007193
"Paraguaçu Paulista@SP",-541.184309026964,252.536519318712
"Paraíso do Tocantins@TO",543.484216466708,-267.628920709188
"Paranaguá@PR",-465.731908610757,267.351581069399
"Paranaíba@MS",-2010.8695379388,757.61747584866
"Paranavaí@PR",551.611029677471,-194.271197250647
"Paraopeba@MG",1355.20764553513,-653.250915753913
"Parauapebas@PA",-306.583032962766,141.486832304803
"Parelhas@RN",-355.267513494027,156.449611068733
"Parnaíba@PI",-153.735922543787,93.8647174029854
"Parnamirim@RN",-488.110012490816,199.741330487503
"Passo Fundo@RS",1135.70411721767,-459.112712713566
"Passos@MG",-50.4329138064145,68.4807269500669
"Pato Branco@PR",1302.14788156065,-715.357845197652
"Patos de Minas@MG",-44.439640722562,45.6601611878925
"Patos@PB",482.056299089641,-196.972061864164
"Patrocínio@MG",2243.26818794767,-808.45242320885
"Patu@RN",-220.525765873416,73.1276827788775
"Pau dos Ferros@RN",-1084.60134362068,526.651007479916
"Paudalho@PE",330.541933714714,-112.025618024001
"Paulínia@SP",218.309027011645,-45.4679685626702
"Paulista@PE",-767.192902006485,429.608359391763
"Paulo Afonso@BA",-1721.56712119092,640.612062226234
"Pederneiras@SP",464.702874903049,-190.051440166996
"Pedreiras@MA",-271.299357985644,107.57500066161
"Pedro II@PI",-1933.59362919805,883.403237639653
"Pedro Leopoldo@MG",585.216657360738,-278.692044495829
"Pelotas@RS",583.562125879278,-217.822716576508
"Penápolis@SP",-1969.58365365175,1029.42938314458
"Penedo@AL",350.252729707188,-151.270050554428
"Pentecoste@CE",2320.56161170059,-792.518926450262
"Peruíbe@SP",-3675.8519144439,1240.53442016608
"Petrolândia@PE",-291.887910695769,117.793260300854
"Petrolina@PE",-1052.95822443693,471.961898281422
"Petrópolis@RJ",1071.39875785837,-544.002974940512
"Piancó@PB",-316.679704937612,170.152729681449
"Picos@PI",282.363198007021,-116.564737390059
"Picuí@PB",-311.648288561043,120.168587500108
"Piedade@SP",101.761334507666,43.4737796047695
"Pilar do Sul@SP",308.592874253498,-105.758847428443
"Pimenta Bueno@RO",-307.506445178223,135.655405586125
"Pindamonhangaba@SP",100.277663447435,40.1255821534453
"Pinheiros@ES",-2249.43953346519,705.03155550012
"Piracanjuba@GO",88.6116643949664,9.99079358642008
"Piracicaba@SP",-352.629632104827,215.683185019559
"Piracuruca@PI",408.759123437996,-129.993389412983
"Piraju@SP",-997.404367955609,625.867945201636
"Pirapora@MG",844.200760512254,-423.438738003621
"Piripiri@PI",289.556747324659,-100.980347009171
"Pitanga@PR",-3447.89498573189,1988.98334331231
"Pitangui@MG",69.8804835791593,-127.748052515248
"Piumhi@MG",-82.2928464741988,51.9109430416287
"Planaltina@GO",304.538415874275,-72.6582065668855
"Poá@SP",247.879799716531,-74.8691325262819
"Poço Verde@SE",-1269.31109246641,422.401705483706
"Poções@BA",450.236837870346,-129.505986167499
"Poços de Caldas@MG",-232.958867493192,85.3796095755957
"Pombal@PB",-460.291641802482,238.912653167946
"Ponta Grossa@PR",584.880573923459,-232.328080728113
"Ponta Porã@MS",146.169153488708,-60.7627556944231
"Pontal@SP",-1074.23873594422,349.647504872442
"Porangatu@GO",-18.9907067048681,32.9231646259035
"Porteirinha@MG",-414.998232843927,158.788744547863
"Portel@PA",-1006.782322137,459.151395293076
"Porto Alegre@RS",377.835701538463,-166.848555849421
"Porto Calvo@AL",-194.367419479209,72.879674583293
"Porto da Folha@SE",413.473672803588,-186.671384359818
"Porto Franco@MA",-4460.44595501196,1625.92115093926
"Porto Nacional@TO",-408.815106771832,180.059782896402
"Porto Seguro@BA",-222.988217869008,90.8775653825999
"Posse@GO",32.1631887502365,18.8938305168879
"Pouso Alegre@MG",-356.370461513596,217.32521305575
"Praia Grande@SP",-325.440312443948,129.162236254409
"Presidente Dutra@MA",1208.4482120137,-381.1592576303
"Presidente Epitácio@SP",-677.506025853124,285.706301056107
"Presidente Prudente@SP",366.349901540318,-101.807679756719
"Presidente Venceslau@SP",536.480641355242,-332.938845652287
"Primavera do Leste@MT",742.443140169408,-345.256112712226
"Promissão@SP",127.222727254741,-23.0468826625941
"Propriá@SE",-13.5143093439265,1.00112716717257
"Queimadas@PB",206.669775701239,-39.859913237369
"Quirinópolis@GO",-823.853207554741,288.741948260442
"Quixadá@CE",37.512149432215,-2.54134966909243
"Rancharia@SP",-2.88428480404337,43.3554513114593
"Raposa@MA",-239.838562971085,63.1585997465473
"Realeza@PR",224.728009153557,-80.7062882748
"Recife@PE",216.376760737865,-125.011580736691
"Redenção@CE",863.348786888019,-255.26227242059
"Redenção@PA",-51.7805061116954,25.9470054222525
"Regeneração@PI",-403.354530699114,194.430291273028
"Registro@SP",-73.3026831847751,91.5034291764512
"Remanso@BA",151.941174055215,-38.5799481950697
"Resende@RJ",427.269271000626,-146.322046887428
"Riachão do Jacuípe@BA",-579.816222925568,304.888523226226
"Ribeirão das Neves@MG",-520.229399600707,166.863898392439
"Ribeirão Pires@SP",-119.716483237129,110.594340509488
"Ribeirão Preto@SP",331.346480300977,-107.638718533566
"Ribeirão@PE",1589.70519797482,-558.303102812905
"Rio Bonito@RJ",239.252383537002,-119.216420479609
"Rio Branco do Sul@PR",-360.23182672985,193.875879874528
"Rio Branco@AC",-1248.33924613335,325.562253156938
"Rio Claro@SP",654.318619830406,-227.524077064743
"Rio das Ostras@RJ",-273.526640919076,99.66924496954
"Rio de Janeiro@RJ",22.6816172893084,18.3740146597093
"Rio Formoso@PE",1139.82235352776,-542.287706528737
"Rio Grande da Serra@SP",-3485.31593224244,1534.00001575274
"Rio Grande@RS",-464.19755053136,240.416579313685
"Rio Largo@AL",380.441626873744,-129.90415228031
"Rio Tinto@PB",130.856779637827,-55.2519571394529
"Rio Verde@GO",-1336.39802791403,533.512494619437
"Rolândia@PR",357.498718196278,-136.334956170082
"Rolim de Moura@RO",-729.126715869875,307.069037519371
"Rosário@MA",1499.9697502414,-487.916648844205
"Rurópolis@PA",-81.1494381732935,19.6110145889616
"Russas@CE",-244.709276396189,64.8893949204428
"Sabará@MG",-107.55859793968,33.5809889867785
"Salgueiro@PE",-2447.50688075218,920.675198712617
"Salinas@MG",188.241605073408,-129.365521780546
"Salinópolis@PA",-276.887247491925,77.3895279635858
"Salto@SP",-1625.3794587969,584.024815407604
"Salvador@BA",-333.847670381248,195.674600107336
"Salvaterra@PA",784.054100170914,-290.200473649101
"Sant'Ana do Livramento@RS",451.590634920475,-140.913473182686
"Santa Bárbara d'Oeste@SP",-409.689367708548,213.052335086401
"Santa Bárbara@MG",-494.828958279307,200.628030356771
"Santa Cruz do Rio Pardo@SP",980.403288155022,-472.75336209845
"Santa Cruz do Sul@RS",-5318.96581369411,2429.38890288804
"Santa Cruz@RN",-70.82203397125,32.7831286736343
"Santa Fé do Sul@SP",-1093.34785332826,464.461341680787
"Santa Izabel do Pará@PA",-135.219543055164,73.253118699406
"Santa Luzia@MG",358.667109652996,-118.711291490328
"Santa Luzia@PB",-86.3492756693012,38.1729210716937
"Santa Maria da Boa Vista@PE",-110.703666412901,57.9803871402891
"Santa Maria do Suaçuí@MG",564.058212737359,-243.097451661827
"Santa Maria@RS",154.943762584888,-0.602332878729913
"Santa Quitéria@CE",-514.262366406066,201.326448358292
"Santa Rita do Sapucaí@MG",68.4435991586595,-36.0165080731082
"Santa Rita@PB",147.735787267209,-46.5837472097343
"Santa Teresa@ES",-33.6484781540121,43.5121661357054
"Santa Vitória do Palmar@RS",1061.8123008042,-303.299166984043
"Santana de Parnaíba@SP",2971.75078980102,-1024.15445549367
"Santana@AP",-2181.87990064384,567.348956728877
"Santarém@PA",-421.05404119548,186.998495534625
"Santiago@RS",-304.342389194809,156.432092463704
"Santo Amaro@BA",34.2894545254896,-20.6581980228693
"Santo André@SP",-344.328062477387,176.44818770832
"Santo Ângelo@RS",-1263.38177420618,653.967146760726
"Santo Antônio da Patrulha@RS",1243.32554422131,-535.608360516512
"Santo Antônio da Platina@PR",-1012.31837782818,463.689734920481
"Santo Antônio de Pádua@RJ",107.474954948843,-26.1580284869269
"Santo Antônio do Descoberto@GO",43.0897619567496,-2.77049014565431
"Santo Antônio@RN",352.038127066145,-88.7305349992552
"Santo Estêvão@BA",-534.015354863613,246.459503328475
"Santos Dumont@MG",845.32926674149,-285.331687180703
"Santos@SP",205.963071035681,-59.8297699204166
"São Bento do Sul@SC",182.640909681146,5.43786546418514
"São Bento@PB",132.36517538329,-74.2257467315653
"São Bernardo do Campo@SP",-1314.90602076578,525.769910711604
"São Bernardo@MA",-115.683313569364,51.3526971639924
"São Borja@RS",-2556.98434790979,950.950882022887
"São Caetano do Sul@SP",6.02545100830134,59.3403278524862
"São Carlos@SP",17.6137580607145,25.9057142245864
"São Cristóvão@SE",-534.635388255728,291.041269897256
"São Fidélis@RJ",-160.995289489195,135.041904324478
"São Francisco@MG",224.039504474874,-79.591101005585
"São Gabriel da Palha@ES",789.341317794812,-182.899603109759
"São Gabriel@RS",2365.00682880815,-1041.1518058532
"São Gonçalo do Amarante@CE",3961.21809672949,-1404.95256324637
"São Gonçalo do Amarante@RN",707.791318913687,-261.948468153185
"São Gonçalo do Sapucaí@MG",526.927183985162,-175.85799772283
"São Gonçalo@RJ",71.5487934979976,-6.64288042508261
"São Gotardo@MG",448.472408184494,-212.241528395299
"São João da Boa Vista@SP",-1028.86209660177,578.368907922756
"São João de Meriti@RJ",424.62241124311,-200.62694344022
"São João del Rei@MG",33.606292526844,-6.2126439726122
"São João do Piauí@PI",30.6678284612664,-21.7578022258607
"São João do Rio do Peixe@PB",394.505699822121,-119.505312993678
"São João dos Patos@MA",1527.04106463139,-479.137699444749
"São João Evangelista@MG",-281.140309510708,157.059636409148
"São João Nepomuceno@MG",474.556425106188,-272.946242274274
"São Joaquim da Barra@SP",-2427.27938359232,1176.71243752395
"São José da Tapera@AL",-129.294476354507,37.153068583041
"São José de Mipibu@RN",-3831.50403977872,1241.3648109513
"São José de Ribamar@MA",-252.538198107871,143.347534764077
"São José do Belmonte@PE",-675.867937255766,266.979260989615
"São José do Egito@PE",-560.856542866634,228.380674085138
"São José do Rio Preto@SP",-469.051653694972,231.629786469548
"São José dos Campos@SP",328.670485235052,-31.4579213359516
"São José dos Pinhais@PR",69.8207182724682,2.36504902418035
"São José@SC",-1235.18667769286,457.444270205325
"São Lourenço do Sul@RS",523.516006061879,-236.356161131628
"São Lourenço@MG",134.977042538438,-7.26618626129831
"São Luís do Quitunde@AL",108.504821382118,13.6383762330349
"São Luís@MA",-247.496227134579,129.237059008577
"São Luiz Gonzaga@RS",4317.00972812748,-2020.10642904486
"São Mateus do Maranhão@MA",370.592359455547,-167.603629543234
"São Miguel do Araguaia@GO",758.59898926241,-245.218075158775
"São Miguel do Guamá@PA",143.626086020174,-3.64076203611402
"São Miguel dos Campos@AL",-314.464327873837,90.8220578385849
"São Miguel@RN",-976.051164413059,338.329323740124
"São Paulo@SP",-526.169600055173,258.031162409737
"São Pedro da Aldeia@RJ",-1220.35993616473,474.347395822142
"São Roque@SP",307.78250782212,-102.629885215813
"São Sebastião do Paraíso@MG",-3.72843433914595,64.7837316129248
"São Sebastião do Passé@BA",-703.742326056447,249.100884987546
"São Sebastião@SP",-353.296200550082,117.857260728859
"São Vicente@SP",-728.665402849717,302.176726789656
"Sapé@PB",-270.467850707155,117.50306463201
"Sapiranga@RS",-1009.60626752896,353.589563132904
"Saquarema@RJ",-95.5443474134972,-25.0850390983479
"Sena Madureira@AC",263.393173503324,-76.455626159296
"Senador Canedo@GO",-607.793110303828,181.757138098383
"Senador Guiomard@AC",1450.96820609045,-500.172949288583
"Senhor do Bonfim@BA",480.059178951275,-230.372122096551
"Serra Talhada@PE",-1695.16773855685,785.056095516671
"Serra@ES",212.488887007446,1.77892970783184
"Serrana@SP",325.499343142983,-125.338578022289
"Sertãozinho@SP",-39.3595429435652,23.1577170750716
"Sete Lagoas@MG",-419.680647602929,111.598443552965
"Silvânia@GO",-179.666510066059,71.0685865117504
"Simão Dias@SE",479.774368178246,-207.814406890189
"Simões Filho@BA",52.9225225001634,-22.9058326038561
"Sinop@MT",-302.616636221606,122.767841694798
"Sítio Novo do Tocantins@TO",658.530632523924,-242.473475125469
"Sobradinho@RS",-579.410303277241,263.180590799583
"Socorro@SP",1175.23525997725,-661.756059457519
"Solânea@PB",71.620642736001,-44.5828066741748
"Soledade@RS",2233.91044300315,-975.807193670296
"Sombrio@SC",512.812401629253,-162.563645137525
"Sorocaba@SP",-489.325530782288,255.912042135199
"Sorriso@MT",-334.786798705529,186.391025817262
"Soure@PA",84.0794590676581,-42.2011222532974
"Sousa@PB",176.099323962615,-72.5405738551762
"Sumaré@SP",436.82221009967,-106.889166759179
"Sumé@PB",-117.971251442421,81.8588005421742
"Surubim@PE",493.860425999517,-119.075101033694
"Suzano@SP",-23.5674350375433,32.1345443292967
"Tabira@PE",301.860648010456,-153.805679579233
"Taboão da Serra@SP",330.015281138365,-52.0699030654178
"Tailândia@PA",-49.5771766128554,17.8515200831828
"Taiobeiras@MG",1106.8338289454,-456.615175193882
"Tamboril@CE",328.211783374157,-102.969953543615
"Tangará da Serra@MT",-164.957437795763,76.7855605067895
"Tapejara@RS",-64.1400139291589,109.567990832052
"Taquara@RS",1793.83773679221,-822.340635390171
"Taquari@RS",-5054.85833915807,2592.10774226841
"Taquaritinga@SP",-335.709751569993,76.2400991318087
"Tauá@CE",-298.413251299562,125.722426078053
"Taubaté@SP",412.967409171082,-168.90476607202
"Tefé@AM",-885.04751583995,303.071540759909
"Teixeira de Freitas@BA",603.366922645836,-307.684138180409
"Telêmaco Borba@PR",335.517403282509,-142.53392661947
"Teófilo Otoni@MG",525.643191371648,-273.813498498291
"Teotônio Vilela@AL",-1241.20907827398,413.211649043102
"Teresina@PI",-498.472218796402,255.594402984201
"Teresópolis@RJ",1164.0004554836,-355.938226857709
"Teutônia@RS",-122.862295956036,83.3110184955275
"Tianguá@CE",94.8589286920386,-53.1958417160683
"Tietê@SP",577.868628659761,-246.296018463528
"Tijucas@SC",195.8498287007,-71.1113099415706
"Timbaúba@PE",-783.756740169276,331.498317125406
"Timbiras@MA",770.72007166639,-261.745949611749
"Timon@MA",218.015747204588,-69.5954748609908
"Timóteo@MG",1002.88496206526,-543.232865358357
"Tobias Barreto@SE",359.274977053514,-135.606418659674
"Tocantinópolis@TO",-219.910002401381,129.232315719824
"Toledo@PR",-380.653070813981,176.09285108505
"Tomé-Açu@PA",-120.270382782187,46.8210768657105
"Torres@RS",-1575.20135875239,600.058172807163
"Tramandaí@RS",-1383.43265358743,444.683993380305
"Três Corações@MG",182.290775169174,-58.281055937743
"Três Lagoas@MS",-189.307394644742,115.164609087779
"Três Passos@RS",177.02642737694,-77.7579024260104
"Três Pontas@MG",-790.98870599239,385.294571784403
"Três Rios@RJ",651.015320191884,-294.295359590131
"Triunfo@PE",-1152.31935533881,365.168202861412
"Tubarão@SC",475.221282425535,-185.928522520711
"Tucumã@PA",1956.59446109889,-612.998784919356
"Tucuruí@PA",-403.071092711957,180.451987394165
"Tupã@SP",200.147968702658,-143.277952417324
"Ubá@MG",487.765624851223,-291.502732418195
"Ubaitaba@BA",1171.75519533478,-467.425578105405
"Ubatuba@SP",-1370.31124988147,472.964860750466
"Uberaba@MG",442.366869916201,-211.328756925661
"Uberlândia@MG",-404.091297956265,242.084667092364
"Umarizal@RN",-98.8822101520245,38.8138871448263
"Umbaúba@SE",373.127644857317,-133.388205783587
"Umuarama@PR",-2663.79541791916,1278.48845879398
"União da Vitória@PR",-104.33175457148,63.87196864729
"União@PI",403.747502776985,-192.258113611981
"Uruaçu@GO",-1332.20079933664,462.450908162214
"Uruçuí@PI",-130.690577666386,63.3675670382561
"Uruguaiana@RS",260.099259235834,-71.3650565488504
"Vacaria@RS",89.9792046656529,-21.3950334862787
"Valença do Piauí@PI",594.927186898732,-214.206838896919
"Valença@BA",-212.284313014992,118.997209489111
"Valença@RJ",-1207.39662885676,668.44269292968
"Valente@BA",135.626111761831,-55.5736351467285
"Valinhos@SP",179.969523854702,-48.7430001162822
"Valparaíso de Goiás@GO",-368.697211365015,128.166352416169
"Varginha@MG",-65.901109321832,0.0630068061804805
"Várzea Alegre@CE",-316.016759044053,127.948945419657
"Várzea Grande@MT",-249.223163760742,183.389821364913
"Várzea Paulista@SP",-658.849042136114,433.947242960324
"Vassouras@RJ",4.59688521579064,80.6112168642492
"Vazante@MG",-66.7379033476984,37.0173847466601
"Venda Nova do Imigrante@ES",-21.7529435041789,67.0055727837648
"Vera Cruz@BA",453.997641061507,-171.148565337425
"Vera Cruz@RN",672.809512082839,-254.766157314381
"Vespasiano@MG",-46.0243521052276,36.3466898556279
"Viamão@RS",183.250233307681,-41.7399001600574
"Viçosa@AL",927.126258070354,-338.93564051502
"Viçosa@MG",170.140073216823,-116.205771139339
"Vigia@PA",200.400242521541,-122.038933873666
"Vila Velha@ES",701.986692883283,-177.270794922721
"Vilhena@RO",537.712980579668,-185.440563047763
"Vinhedo@SP",405.265327183992,-70.8643212394751
"Visconde do Rio Branco@MG",523.50567045139,-412.907813033049
"Vitória da Conquista@BA",-204.447956680612,111.541327204569
"Vitória de Santo Antão@PE",447.651621738686,-260.160676967483
"Vitória@ES",183.319120798843,-52.3126484474796
"Volta Redonda@RJ",436.607837344197,-168.525945633942
"Votorantim@SP",135.347332847984,-18.9710488462371
"Votuporanga@SP",340.702664371312,-133.650739968749
"Xanxerê@SC",-169.986620970888,102.39138753521
"Xinguara@PA",-321.353558846477,138.992588480574
"Xique-Xique@BA",-712.639217507409,380.67123392889
"Zé Doca@MA",25.470101041231,4.70481163183029
