"","Row.names","x","y"
"1","Abaeté@MG",17456.9460065834,24209715011941.9
"2","Abaetetuba@PA",13362.1482701362,6799.84570642421
"3","Abreu e Lima@PE",17013.9643626314,92482.5972750544
"4","Acaraú@CE",17775.7362490666,132926.775947613
"5","Acopiara@CE",17261.5202382488,2586.93393993517
"6","Acrelândia@AC",10016.6521560598,61088.4133167793
"7","Açu@RN",20969.7292373614,45741.7066644947
"8","Afogados da Ingazeira@PE",17577.6814208252,35078.2049433086
"9","Afonso Cláudio@ES",14730.6500465722,12568.1203484849
"10","Água Branca@AL",12812.8136399849,1391.11009682392
"11","Água Branca@PI",14737.5282935998,11483.4089162862
"12","Água Clara@MS",12173.8483651661,44003063418.6083
"13","Águas Formosas@MG",17700.6149307783,5454.13260131858
"14","Águas Lindas de Goiás@GO",12692.0216681888,7091.76206565366
"15","Agudos@SP",12846.7850742537,26078519.2166296
"16","Aimorés@MG",15571.2591849275,11226.5719579686
"17","Alagoa Nova@PB",14223.8795036891,40889.402277993
"18","Alagoinha@PB",17778.2610694543,2990.67622785615
"19","Alagoinhas@BA",22035.6109957393,12058.3605121099
"20","Alcântara@MA",10900.1641870024,43081.1236702376
"21","Alegre@ES",20021.1982325451,106973.539672485
"22","Alegrete@RS",15897.9166930009,127239.943625902
"23","Alexandria@RN",21217.3772358267,24741.1597103852
"24","Alfenas@MG",18351.3796925712,318183.686969034
"25","Alhandra@PB",15855.4450007658,1171.86168377979
"26","Almeirim@PA",10580.7758998851,135.002209282491
"27","Almenara@MG",14640.2726985766,178333.505377608
"28","Almirante Tamandaré@PR",11576.3699356531,15840.208403604
"29","Alpinópolis@MG",18288.5669582106,80600.347358166
"30","Alta Floresta@MT",15730.697502089,8892.30039876476
"31","Altamira@PA",14299.0664472913,94340.1436220584
"32","Alto Alegre@RR",14383.6434835339,33151.134770294
"33","Alto do Rodrigues@RN",18709.698209362,100400.990947846
"34","Alvinópolis@MG",14935.9143295614,82.9938149576492
"35","Alvorada do Sul@PR",17213.6932850391,9545.4041284932
"36","Alvorada@RS",11700.8174071233,9005.74921911547
"37","Amambai@MS",19397.311896004,254604.888277807
"38","Amarante do Maranhão@MA",20953.649341194,13910.5090853718
"39","Amarante@PI",12751.1342873461,57031.31544155
"40","Amargosa@BA",26551.5672948977,70253.3123320931
"41","Americana@SP",15592.5199933153,14792.7079773425
"42","Amparo@SP",16970.617378975,5707.97066577336
"43","Ampére@PR",12752.3185666155,5644.68523763332
"44","Anagé@BA",14706.1168718832,7982.51728413672
"45","Anajás@PA",9533.74144557369,99674876944.6213
"46","Ananás@TO",11545.5875188225,225966917710.678
"47","Ananindeua@PA",18538.1725124471,21873.7623605885
"48","Anápolis@GO",21991.1494912798,55321.954767707
"49","Anastácio@MS",8393.37063032959,2910.58226105614
"50","Anchieta@ES",14464.9498394402,69298.9990164028
"51","Andradas@MG",15714.1816343474,951129504.86141
"52","Angicos@RN",25589.5362121026,12612.2896979606
"53","Angra dos Reis@RJ",17713.2611812977,18961.4844626061
"54","Aparecida de Goiânia@GO",16192.8204048752,20761.0696891661
"55","Aparecida@SP",18166.5528118786,772.541828533975
"56","Apiaí@SP",15595.5816071614,8764.51181231895
"57","Apodi@RN",20261.3483228417,5908.68079228705
"58","Apucarana@PR",15246.6799767947,6180.84546691437
"59","Aquidauana@MS",16396.576810332,16550.132835004
"60","Aracaju@SE",28886.6070336314,70333.2405966795
"61","Araçatuba@SP",18773.3781169329,63911.2303339591
"62","Araci@BA",22234.9273630825,19460.8601283136
"63","Araçoiaba da Serra@SP",14305.5165488981,86645.2737158447
"64","Aracruz@ES",20051.2818036996,16257.1789290779
"65","Araçuaí@MG",16924.3920785581,13395.2029355629
"66","Aragarças@GO",14876.0391883973,2924163.68976042
"67","Araguaína@TO",17791.7526813556,657841.817633648
"68","Araguari@MG",17553.1603928427,10248.0493730724
"69","Araguatins@TO",13348.6786705062,36739.2936019248
"70","Arapiraca@AL",23654.2435256786,173183.509541173
"71","Arapongas@PR",20507.782112796,24902.3375225361
"72","Araputanga@MT",14334.9609173896,2432876942361.97
"73","Araraquara@SP",16360.7306697426,38681.6453854956
"74","Araras@SP",15052.8008029003,43278.4963200081
"75","Arari@MA",8568.37148191957,15279.7069054726
"76","Araripina@PE",14027.8394640279,21504.7639051663
"77","Araruama@RJ",20910.623971996,50669.2507053022
"78","Aratuba@CE",14929.804532511,30.7263045907818
"79","Araxá@MG",14780.2860537125,123140.616639054
"80","Arcos@MG",16112.5846630233,5431.515946325
