"","V1","V2","V3","V4"
"Abaeté@MG",523.641879169844,123.582802958015,445.703013897617,86.186472255816
"Abaetetuba@PA",416.550765487929,115.182425999371,294.739579797848,173.660123121645
"Abreu e Lima@PE",460.28931994439,116.702157323577,455.887236341222,47.2261899228345
"Acará@PA",415.140447857009,95.212165044197,103.851832742021,155.521801114676
"Acarape@CE",450.344594414562,124.139463717717,404.38752558914,50.7430087429996
"Acaraú@CE",468.350224415984,123.195728793577,533.450721755862,3.84961064898741
"Acari@RN",460.178643775572,127.416904005686,523.229460741421,108.821718218285
"Acopiara@CE",431.814699551958,132.161257357647,472.985111793277,72.0965278295536
"Acrelândia@AC",428.339520923762,109.056536963982,523.229460741421,108.821718218285
"Acreúna@GO",437.470452190331,135.090955371784,466.351018929241,36.8450233970746
"Açu@RN",421.111880655207,133.504605266995,390.259185206124,139.741515510329
"Adamantina@SP",539.382115363594,128.981175941377,646.577197348426,61.0617797524289
"Afogados da Ingazeira@PE",482.247849236905,128.087772171321,184.576537989099,256.230706455732
"Afonso Cláudio@ES",514.319952960455,115.904102763249,478.380932579742,119.216530229524
"Agrestina@PE",473.752665994031,111.268700064512,377.298905436799,122.725183964072
"Água Boa@MT",467.262861304845,124.153052222032,552.466621381745,104.37600077621
"Água Branca@AL",421.21608804223,108.077292951628,535.694742739814,63.3456771760854
"Água Branca@PI",430.208626496445,111.979056837339,527.026437168524,125.644487878897
"Água Clara@MS",434.580717695638,120.959446576068,523.229460741421,108.821718218285
"Água Doce do Norte@ES",456.893808671869,124.171934124562,409.7,1.98862014747993e-16
"Água Preta@PE",416.442765043728,124.514389457234,442.715521989706,62.966314202211
"Águas Belas@PE",449.0882270754,113.277821692531,508.401739453945,19.3981157667275
"Águas Formosas@MG",454.27104563083,118.073466220039,424.230930088107,23.9604905168237
"Águas Lindas de Goiás@GO",425.659952819426,112.587064240236,449.750162044227,50.9561445376976
"Agudos@SP",496.638224072505,145.628063419685,464.5,6.16442781103682e-20
"Aimorés@MG",472.572362289864,135.856441998123,627.2,4.98271691762812e-26
"Alagoa Grande@PB",425.343743965333,125.024107693341,475.68471187148,63.6162604019303
"Alagoa Nova@PB",439.779342457468,109.711459121201,462.309219855397,148.784956215185
"Alagoinha@PB",401.919514778283,115.778703534714,170.785771889453,185.270090158728
"Alagoinhas@BA",425.540215184115,133.643470361112,349.48920412015,166.350441215659
"Alcântara@MA",330.228919303495,155.162166898594,556.279445772405,82.0360091919592
"Alegre@ES",495.599191894947,127.817215807517,476.997058067844,118.398771904537
"Alegrete@RS",459.823171001237,126.829458911692,257.662070107219,171.051228725364
"Alexandria@RN",442.724143531006,127.899048533044,494.353131626494,101.84339816601
"Alfenas@MG",519.035378232714,132.963524978035,372.292050615313,152.026322882836
"Alhandra@PB",401.272823525014,126.812650166237,423.9,1.61990575951131e-22
"Aliança@PE",434.579382216622,120.865627506269,471.6,2.17964995617395e-20
"Almeirim@PA",433.939729847306,78.2736475173277,458.8,5.68129412467694e-14
"Almenara@MG",454.000612046434,123.294329310711,439.028104081001,69.3949965589154
"Almirante Tamandaré@PR",475.082984118491,118.384828150959,476.596471633175,75.1468691915482
"Alpinópolis@MG",520.602326238752,127.557439166985,63.2311556338202,328.606861160321
"Alta Floresta D'Oeste@RO",464.710696247048,113.682446325234,523.229460741421,108.821718218285
"Alta Floresta@MT",464.223923885094,124.326590763018,534.639626107522,78.354458497171
"Altamira@PA",414.882238957972,123.459172912228,439.353771295685,100.317278040932
"Alto Alegre@RR",419.931936869867,98.5691808808267,523.229460741421,108.821718218285
"Alto do Rodrigues@RN",414.405000272465,122.511089673006,416.348552118081,31.2000647272437
"Alto Paraíso@RO",408.075976261433,130.474301228834,441,4.67389881872481e-23
"Alto Santo@CE",419.663978442003,135.960163571801,615.7,3.84052378039112e-23
"Alvarães@AM",421.033083732516,79.7418161641327,523.229460741421,108.821718218285
"Alvinópolis@MG",489.056642223627,130.6791810328,491.342205742163,115.630312595284
"Alvorada D'Oeste@RO",451.381476926563,109.229883004542,482.10034782095,12.6991178283402
"Alvorada do Sul@PR",462.465320449671,119.062746530464,468.733529617406,56.1992492783223
"Alvorada@RS",477.886591789351,113.227458724529,382.576294988637,135.617045011289
"Amambai@MS",434.967755405169,139.503277206481,412.898942775151,7.6997819131311
"Amapá@AP",429.369257326566,77.4228572705529,461.549505949666,2.64983623484607
"Amarante do Maranhão@MA",431.378343455032,110.467348759609,430.235824784686,60.1237376139563
"Amarante@PI",378.7774461278,115.885245732076,523.229460741421,108.821718218285
"Amargosa@BA",361.864620386283,157.240105475998,479.84514062303,56.566985533571
"Amélia Rodrigues@BA",431.753824004021,123.32713604009,375.9,7.2185334102237e-20
"Americana@SP",569.380551803371,125.93073673854,537.20056175685,166.262102914387
"Amontada@CE",430.682145820367,124.641412330228,129.333749235094,137.143037031239
"Amparo@SP",539.455699850079,125.243714943003,404.527112023281,108.232436797604
"Ampére@PR",502.66788905057,110.074591476733,588.108912503191,81.1046142432207
"Anagé@BA",433.702629801128,107.02340423641,431.459987286745,41.1303955794505
"Anajás@PA",426.869519873343,84.9782792300156,409.8,5.68400891312126e-14
"Anajatuba@MA",412.978454371219,107.851520143064,523.229460741421,108.821718218285
"Anamã@AM",428.428582610763,71.5963861401261,523.229460741421,108.821718218285
"Ananás@TO",414.510648220676,111.398611382051,523.229460741421,108.821718218285
"Ananindeua@PA",429.481892177699,130.996418671371,375.760672415871,137.988381504821
"Anápolis@GO",497.705891950925,138.600233025767,434.10273532436,224.690455740842
"Anastácio@MS",416.127507318714,113.093466373911,453.5,3.02872462754452e-22
"Anchieta@ES",516.096513188241,122.971780007123,486.268384584094,135.552444716253
"Andradas@MG",531.437976912861,122.66545012858,391.2,1.18501799584198e-15
"Andrelândia@MG",493.127899328112,121.675718591364,466.499965790207,8.60110108112134
"Angicos@RN",431.888884117004,118.341842245163,534.005785320233,93.2164089732329
"Angra dos Reis@RJ",478.852682297583,130.979413057042,442.879475061289,84.5123646589535
"Anori@AM",446.514760829416,81.9256376171234,472.8,2.15923088122398e-15
"Aparecida de Goiânia@GO",460.303422013911,126.814668406767,213.814349841191,233.787801818405
"Aparecida do Taboado@MS",495.102886791993,116.426123084675,433.3,1.25788539968819e-14
"Aparecida@SP",522.832161027084,126.884862106589,588.369699762284,20.6186078674217
"Apiaí@SP",479.357483824918,113.443521956157,502.4,2.3326590409153e-21
"Apodi@RN",456.950272158855,132.1129556911,461.404305975292,112.272740370885
"Apucarana@PR",497.193850727557,126.580435962864,450.42157654525,110.532734401424
"Apuí@AM",437.599515051079,101.590279996372,537.809570908628,54.7609714844184
"Aquidauana@MS",374.13700012953,145.653720077395,420.326504423773,48.4168815932941
"Aracaju@SE",468.8903516602,156.622684262539,376.652507926521,212.979135316525
"Aracati@CE",461.381081878142,124.725483520308,412.285425162391,92.6810820785594
"Araçatuba@SP",539.980626060197,132.643123198531,246.92375305666,242.491287145525
"Araci@BA",428.138269801064,120.776805747418,418.429913362272,29.1285146872163
"Araçoiaba da Serra@SP",498.872588676029,125.377024731745,522.6,1.13744155507902e-13
"Araçoiaba@PE",382.719933237671,123.488501745553,376.9,2.32648485228769e-21
"Aracruz@ES",499.509606119741,137.15184851248,571.116201156551,142.339452146255
"Araçuaí@MG",460.107654692452,122.562343066236,384.281407870449,137.162492798972
"Aragarças@GO",448.965138402027,111.217646430504,437.850695455056,65.0698548779966
"Araguaína@TO",437.769789751124,131.178362054276,246.881307164825,228.208172401699
"Araguanã@TO",410.940266753363,101.880947526632,492.6,1.00931266684841e-27
"Araguari@MG",507.26651187363,133.149771771031,521.571775087214,136.404854075751
"Araguatins@TO",438.647305025955,112.588784095285,432.253014391203,32.2209213109924
"Araioses@MA",405.928335070002,104.033608694423,397.9,4.66875848543847e-20
"Arame@MA",386.75351546686,115.142761647516,420.502122019475,10.7004480201051
"Arapiraca@AL",444.452136936562,144.853572507544,43.79833354327,261.973970453131
"Arapoema@TO",425.843604115818,105.184721174906,523.229460741421,108.821718218285
"Arapongas@PR",498.561372829902,127.014320984642,532.639821104544,127.128307400505
"Arapoti@PR",475.951834322138,120.912212409546,400.049451322238,3.94990131211578
"Araputanga@MT",435.076297851713,124.879785990584,523.229460741421,108.821718218285
"Araraquara@SP",542.671144475815,127.631977660199,515.683473623117,146.428577941903
"Araras@SP",566.431222953322,121.97529694629,477.297837547564,127.031216540864
"Arari@MA",441.927523236521,91.7336628387366,475.42747880924,146.11028289913
"Araripe@CE",469.97336890345,112.312274179877,381.346542866304,187.981169029672
"Araripina@PE",464.621631294357,120.158785207003,348.707909847262,186.525583110274
"Araruama@RJ",492.567624331189,136.387631596436,520.924479913158,124.642034516066
"Araruna@PB",434.302212080148,118.651980378389,515.469376399185,52.0445254334986
"Aratuba@CE",418.448713607501,125.882319494278,476.046070407389,44.1808112076431
"Araucária@PR",492.264006612271,125.397014072699,429.385962929047,94.5456872212863
"Araxá@MG",541.851733522113,133.079799077571,578.953562784887,138.574649960478
"Arcos@MG",534.688374385792,123.619981632814,420.6859440767,146.038018933182
"Arcoverde@PE",471.470305648085,129.933622687527,418.429563703507,181.553415204581
"Areado@MG",506.960708891182,120.126583641845,462.046114600378,100.188607976921
"Areia Branca@RN",430.781434495631,122.952218836389,416.008112599405,206.379188384765
"Areia Branca@SE",398.515893097448,131.580240522869,459.57186050449,66.6407384090985
"Arenápolis@MT",438.98787058365,106.19637363358,492.200055835831,24.096822273348
"Arinos@MG",425.561202906199,130.816077953041,464.9,1.38228270581229e-20
"Aripuanã@MT",466.688217525979,106.760580190877,523.229460741421,108.821718218285
"Ariquemes@RO",456.422942254475,115.044114529944,385.002166307159,180.316350101216
"Aroeiras@PB",409.332372068165,128.424695021376,409.4,1.13309970735928e-21
"Arraias@TO",376.934958505733,118.741572743274,405.279529532475,16.9982181580414
"Arroio do Meio@RS",572.030603278264,119.675846454021,535.107677579082,40.1051807691448
"Artur Nogueira@SP",510.645488756137,130.747100840681,415.176665091868,159.931986353783
"Arujá@SP",490.227540771081,131.866579194805,461.148873502395,164.072596783407
"Assaí@PR",464.937421476326,126.567614815031,398.04667115053,119.483039999192
"Assaré@CE",443.907323325371,127.188725731039,500.760778973294,60.6329438884359
"Assis Chateaubriand@PR",504.289782370687,127.962020878099,503.997186909339,51.0368986884135
"Assis@SP",531.926153512263,126.417540268819,445.35048033585,98.4030233741136
"Astorga@PR",475.99379913579,134.275652801751,334.26182911742,225.669792306706
"Atalaia@AL",407.895900218215,109.37648719903,436.1,1.89151449264452e-22
"Atibaia@SP",535.289327947471,139.718913890118,518.892204465396,116.223300063796
"Augustinópolis@TO",420.650591950789,117.899226336895,673.9,1.18500544158369e-16
"Augusto Corrêa@PA",416.619917901059,98.2903221725481,456.262223429497,52.5544508848258
"Auriflama@SP",511.402798129368,122.879755910607,534.901603553841,232.670061089855
"Aurora@CE",444.854961067519,130.736017377665,486.232520097842,70.3384170067005
"Autazes@AM",429.496282820202,82.9045482208301,408.9,3.71314326729137e-19
"Avaré@SP",543.279500291207,126.997624154287,537.148841429003,66.6677535804374
