"","V1","V2","V3","V4"
"Abaeté@MG",528.520760547862,121.366391152777,670.9,3.81664927640295e-14
"Abaetetuba@PA",480.274872411997,90.1236630116096,367.065131451835,153.280111371313
"Abreu e Lima@PE",495.712426992142,101.176028470689,401.218945590928,181.230485677589
"Açailândia@MA",489.347363767849,92.6725431503968,319.860199885216,126.943518467167
"Acará@PA",477.439653159249,79.392840726599,542.49454978654,50.5158485381904
"Acarape@CE",479.14923707641,102.561679562648,535.525147513195,102.851915068854
"Acaraú@CE",502.031298871284,102.904868525208,603.234218549189,83.3448140152274
"Acari@RN",510.140449774695,95.0036578895314,349.255321218097,115.361459261614
"Acopiara@CE",485.139225988307,105.691414161374,290.611561127988,192.935029453359
"Acrelândia@AC",478.165999784568,87.4729431907246,535.525147513195,102.851915068854
"Acreúna@GO",492.788144367324,107.138359173016,535.3,1.56093164197896e-19
"Açu@RN",491.964951040123,104.432047705348,478.849285809943,102.80569360805
"Adamantina@SP",555.281726845608,118.066426595236,671.007386348561,120.927355612707
"Afogados da Ingazeira@PE",513.456454484771,110.466800124273,529.087303243064,72.8745647094413
"Afonso Cláudio@ES",518.496934759691,109.682227434926,475.868619815789,77.6113353058393
"Afrânio@PE",476.288374361087,107.30343902382,563.283325858598,87.9950135505869
"Agrestina@PE",492.081682445772,100.829533545121,512.648389431936,113.824442211981
"Água Branca@AL",462.288207674384,88.8471372583914,591.388624401177,69.6229902373534
"Água Branca@PI",473.157526046766,89.9023203898958,536.708414571183,94.88244023044
"Água Clara@MS",487.858963352081,88.1662938099687,535.525147513195,102.851915068854
"Água Doce do Norte@ES",499.449303635782,104.678420652563,418.6,3.73166527169697e-21
"Água Preta@PE",476.525131530372,85.3616444654401,467.654101129284,75.5406623824209
"Águas Belas@PE",493.836778139723,94.7414006079545,643.5,5.01328302342615e-20
"Águas Formosas@MG",489.315271037606,101.427681951636,512.652388967877,31.7526988583442
"Águas Lindas de Goiás@GO",483.938745523452,86.3110662740775,316.413151285149,166.353438097792
"Agudos@SP",546.891106344076,115.338475253021,425.8,4.03827108002598e-15
"Aimorés@MG",525.997400431305,109.580837202511,473.4,8.01733834388777e-23
"Alagoa Grande@PB",480.694369514611,101.816705896176,565.3,1.31983520219253e-23
"Alagoa Nova@PB",484.482244275951,94.8356921225985,370.061933618518,157.119895054778
"Alagoinha@PB",457.419929349796,100.213443714934,502.164844084124,154.252322203099
"Alagoinhas@BA",483.819527763226,113.389342360651,479.907344463872,92.9713836154152
"Alcântara@MA",462.684643654509,97.5157621760934,669.6,1.13658476999682e-13
"Alegre@ES",522.753106909753,116.65739986931,566.947911965399,129.443414848308
"Alegrete@RS",497.753233986146,105.305328939886,455.22278744373,66.7333046197106
"Além Paraíba@MG",544.560757359619,120.051157149427,454.368986434243,50.4645502696977
"Alenquer@PA",471.96079332048,78.9403227535197,424.442075333912,70.352744644575
"Alexandria@RN",489.971043781873,101.649941501219,340.150666381943,253.211008985926
"Alexânia@GO",494.898490575841,91.2397382349797,384.754841210122,156.189702985668
"Alfenas@MG",538.423907113702,120.622844202918,554.213879176638,120.453923251204
"Alhandra@PB",478.925970826763,91.4378566501869,535.525147513195,102.851915068854
"Aliança@PE",486.535673589386,104.961701547401,535.525147513195,102.851915068854
"Almeirim@PA",473.416433151629,80.1367214461111,410.1,4.28971528310569e-21
"Almenara@MG",499.875562486081,103.824009080758,427.164891426018,54.5839882449111
"Almirante Tamandaré@PR",514.354285798117,97.0437767713715,535.525147513195,102.851915068854
"Alpinópolis@MG",542.068861595394,115.133662689283,575.765490821325,142.684585678548
"Alta Floresta D'Oeste@RO",504.190222371011,99.1803437423703,535.525147513195,102.851915068854
"Alta Floresta@MT",504.791593419306,99.9750808682065,487.820659209897,97.6108543109737
"Altamira@PA",479.232959215326,95.6443936754891,398.276107387828,107.857224760202
"Alto Alegre@RR",466.151103819966,89.9753349285043,535.525147513195,102.851915068854
"Alto do Rodrigues@RN",484.682765374454,89.930219171559,488.088368543593,41.7235128140869
"Alto Paraíso@RO",486.155602827863,94.9845541839459,535.525147513195,102.851915068854
"Alto Santo@CE",477.576297494765,104.231421844429,535.525147513195,102.851915068854
"Altos@PI",473.368035923137,101.85719280413,529.781518431086,102.237838949186
"Alvarães@AM",462.961782308832,65.8927536228634,535.525147513195,102.851915068854
"Alvinópolis@MG",527.919194821809,112.563097818679,425.917629127775,29.8218107961599
