"","Row.names","x","y"
"1","Abaeté@MG",22241.8545744026,27356.429144259
"2","Abaetetuba@PA",15640.5914072972,34729.0838517285
"3","Abreu e Lima@PE",23895.2381750958,570625.286336128
"4","Acará@PA",11173.7505296906,3795.01994223284
"5","Acarape@CE",10744.2282169872,3368.7463351548
"6","Acaraú@CE",29097.1111958556,24810.3201515728
"7","Acopiara@CE",28693.9110293298,19462.8214328204
"8","Acreúna@GO",15183.6488552713,2422515.71395245
"9","Açu@RN",38475.9921671352,10094.920180566
"10","Afogados da Ingazeira@PE",25076.3166076788,165041.802176185
"11","Afonso Cláudio@ES",21951.5322223066,5644.26719164069
"12","Água Branca@AL",19243.2407317423,77284.7787386662
"13","Água Branca@PI",17073.9605546584,421120.12762554
"14","Água Doce do Norte@ES",31772.525836835,25.8344270615216
"15","Águas Formosas@MG",21799.7123303524,2831.44315606642
"16","Águas Lindas de Goiás@GO",14718.5360304832,3510.59729308765
"17","Alagoa Grande@PB",23702.4481436481,1952.73750567749
"18","Alagoinha@PB",25492.2142836006,6534.67143501124
"19","Alagoinhas@BA",38085.160420316,2607.3560011468
"20","Alegre@ES",38635.9291800709,17497.4977833903
"21","Alegrete@RS",33866.3126485029,35650.903568908
"22","Alexandria@RN",29188.2109364636,22805.5893507191
"23","Alfenas@MG",30082.9355011304,25328.6837736178
"24","Alhandra@PB",14518.1985237622,1360.40085669107
"25","Aliança@PE",15384.6682307282,56.3591512725218
"26","Almenara@MG",17292.8265401317,4211.71821655472
"27","Almirante Tamandaré@PR",22366.16721563,15041.0099209881
"28","Alpinópolis@MG",27375.0477289214,4134.42250859744
"29","Alta Floresta D'Oeste@RO",15522.3300025778,75006.5335295893
"30","Alta Floresta@MT",26278.3248705004,18660.277312753
"31","Altamira@PA",18235.2477295188,4057.71835641091
"32","Alto do Rodrigues@RN",22954.106126504,249921142.114219
"33","Alto Santo@CE",24572.8860769112,1835.11437403933
"34","Alvinópolis@MG",20920.0330187142,1845.93444345068
"35","Alvorada do Sul@PR",29721.088942775,11517514.217355
"36","Alvorada@RS",17210.3843067864,8426.39255594257
"37","Amambai@MS",24244.5319425173,3941.42276138784
"38","Amapá@AP",9448.2503187504,717607.372043133
"39","Amarante do Maranhão@MA",20403.52655043,1320.81883623631
"40","Amarante@PI",13302.4053070497,4241077.91911988
"41","Amargosa@BA",31145.6941498144,2628.02429065884
