"","V1","V2","V3","V4"
"1504208@15",536.4,1.13689622711371e-13,490.565612114645,102.173053919834
"1505031@15",438.2,5.68421063697576e-14,490.565612114645,102.173053919834
"1505536@15",487.9,1.75164597952626e-23,490.565612114645,102.173053919834
"1508159@15",467.7,5.68264528543824e-14,490.565612114645,102.173053919834
"1709302@17",450,2.38631654832961e-22,490.565612114645,102.173053919834
"2931350@29",396.9,2.14679576120835e-18,490.565612114645,102.173053919834
"3103504@31",498.3,2.95233552275571e-14,490.565612114645,102.173053919834
"3134202@31",502.7,3.47105093323927e-14,490.565612114645,102.173053919834
"3136306@31",532.9,3.15098005820722e-15,490.565612114645,102.173053919834
"3147006@31",562.8,4.909443547791e-20,490.565612114645,102.173053919834
"3552205@35",503.3,5.68540267872186e-14,490.565612114645,102.173053919834
"4205407@42",575.6,1.13646516166436e-13,490.565612114645,102.173053919834
"5002704@50",489.550625267512,4.55023566314434,490.565612114645,102.173053919834
"5003702@50",462.2,2.37114508484422e-14,490.565612114645,102.173053919834
"5100250@51",491.272080018545,55.7367635584336,371.2,1.53538234768767e-14
"5101308@51",472.753658896128,38.3157995385208,490.565612114645,102.173053919834
"5101704@51",504.903280429257,34.5058358358074,490.565612114645,102.173053919834
"5101902@51",494.5,1.94828633311196e-25,490.565612114645,102.173053919834
"5102637@51",473.93092465645,27.1981820994387,490.565612114645,102.173053919834
"5102678@51",510.529163717326,66.5375446304822,490.565612114645,102.173053919834
"5102793@51",516.605208587099,20.5534766329746,490.565612114645,102.173053919834
"5103007@51",519.098869594386,52.8133009167585,490.565612114645,102.173053919834
"5103205@51",489.820342314092,59.8970242732535,490.565612114645,102.173053919834
"5103254@51",522.3,3.13050564389648e-21,490.565612114645,102.173053919834
"5103353@51",370.2,8.40066829983e-16,490.565612114645,102.173053919834
"5103403@51",499.947020556524,66.9657551717452,492.103809207932,67.7371007326267
"5103502@51",487.127114441347,69.650121461884,490.565612114645,102.173053919834
