NO_MUNICIPIO,CO_MUNICIPIO,SG_UF,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Corumbiara,1100072,RO,0.31903701428352,0.295355126785617,0.308516789888893,0.417031332049711,0.281979824370419,0.334242378959952,0.362887167051123,0.353661549320628,0.204858593183466,0.276640115403914,0.380325993708893,0.429345354607826,0.634118175402579,0.635683395925799,0.832916763866209,0.815517952950887
Cruzeiro do Sul,1200203,AC,0.220288439059148,0.22919321101171,0.252463809200082,0.257449730783299,0.275476675305442,0.258107861753097,0.283604073579857,0.311091373162866,0.271337861911143,0.294674431961227,0.304067382714345,0.358955442381407,0.417078744224085,0.411921873908555,0.487006540955122,0.502660918169371
Mâncio Lima,1200336,AC,0.171863086209515,0.216443750424333,0.235833884392182,0.257419822909767,0.255337691213329,0.285461163399811,0.292859770270174,0.24202877427277,0.219896007544284,0.203857173459005,0.209052287581699,0.382448059063201,0.376808129109384,0.468173115483629,0.60333621238691,0.534893958108854
Rodrigues Alves,1200427,AC,0.237576874383879,0.308908080325126,0.327496800326296,0.328347955038388,0.309789128312117,0.256192282145229,0.288926436261968,0.317183811169941,0.277724431771332,0.327324619432381,0.391354417526154,0.434211893246418,0.534212792716436,0.591494832616328,0.62357311199918,0.619126819126819
Marechal Thaumaturgo,1200351,AC,0.407796968780263,0.390923007861509,0.374112437281435,0.387192905701016,0.373772120231044,0.349287218098773,0.381726590002173,0.4677271271485,0.397416406153495,0.520515728977616,0.561514293231803,0.610125672564458,0.651981700090077,0.738279592702588,0.748117033603708,0.817423994769533
Porto Walter,1200393,AC,0.3498706862426,0.379760219012555,0.355908697225176,0.318837547224644,0.316510214610679,0.302069035044863,0.291194909419576,0.260027736081727,0.357382800042522,0.371797208825229,0.359477124183006,0.417787340864264,0.466511646394785,0.515258215962441,0.784837742023452,1
Feijó,1200302,AC,0.422935165019266,0.393271799854263,0.392722989995135,0.415552972044754,0.425064234267775,0.430472501588313,0.452935015435015,0.420812476016781,0.463218818773562,0.442117914979757,0.323318269547616,0.445908538146441,0.515866922096458,0.525108299133607,0.633523496314194,0.712883917181827
Jordão,1200328,AC,0.461832941284996,0.429553675128588,0.477544144447678,0.495050972562543,0.51040729236218,0.529469828904162,0.512084758856638,0.611505681818182,0.551154174978626,0.522360144725856,0.514755107063746,0.67628308947684,0.679880657951556,0.752466822370684,0.861619609059882,0.799089726918075
Tarauacá,1200609,AC,0.354534527757609,0.320571644787212,0.343426462378305,0.351520929124682,0.33843703175113,0.32979963444727,0.328121417106168,0.397086286804798,0.33861083263966,0.306846704369652,0.348917423341124,0.496805930852907,0.561775507722242,0.558280679584386,0.52159511054101,0.662055442029434
Manoel Urbano,1200344,AC,0.273434865685062,0.229378810133493,0.232077617284847,0.333683960230043,0.284492186121988,0.30704960523644,0.307393272503019,0.368123123303707,0.392434681503262,0.384361118693699,0.36005603985056,0.315056058487279,0.323076923076923,0.454628187509543,0.513039178394827,0.69387200331383
Santa Rosa do Purus,1200435,AC,0.384634284634285,0.400480906475768,0.440334961618981,0.464838173462403,0.495730633802817,0.497674647103134,0.494858556056925,0.511406485671192,0.556844547563805,0.519660451378712,0.500020802303231,0.738549983091468,0.719353567205361,0.765814830330959,0.816391941391941,0.859291084854995
Assis Brasil,1200054,AC,0.33473364942128,0.338153404856975,0.326745117950709,0.305761127917027,0.324610566778221,0.320326416878141,0.336458350406198,0.401033375226924,0.39504906228675,0.352143918073796,0.298779710623835,0.410724365004704,0.354879594423321,0.435800408087553,0.464204729510852,0.478202548625084
Sena Madureira,1200500,AC,0.317249366537841,0.295824782827025,0.288169661832463,0.302756648668653,0.311089332382989,0.362837490837105,0.376973713063395,0.359053696816302,0.3637444648546,0.391367439382023,0.310521185216389,0.398274177408912,0.510110821382008,0.561374831349444,0.660059424143931,0.629596330099962
Acrelândia,1200013,AC,0.130784792502506,0.161761288073442,0.20259886232226,0.231384915718737,0.268194399218496,0.323952744318323,0.267597791061109,0.329660556205605,0.236894690645601,0.257663123412221,0.266626644033177,0.386722604440997,0.42110970540394,0.400341397137561,0.371667527244069,0.427635871915218
Rio Branco,1200401,AC,0.195411711317881,0.170839964313445,0.181264108686032,0.204675419676483,0.212096629694489,0.217710729119955,0.219914236026112,0.26191102983563,0.244034179752937,0.251990329600533,0.243438892448481,0.284269913647179,0.369391843070642,0.435641792953381,0.549805110270487,0.578206058453709
Bujari,1200138,AC,0.219619193085074,0.209600505797381,0.244935682379427,0.24718916303822,0.244908376826994,0.203774250440917,0.207844338899954,0.284358988123997,0.276800765555091,0.286422601339728,0.251986253038183,0.32501205335619,0.393819070361526,0.38199497503834,0.460358405426379,0.493928454217263
Capixaba,1200179,AC,0.159204169844902,0.169027367789063,0.194790227398923,0.119587450164673,0.149029481036303,0.182937116242052,0.236936111747195,0.251087230998008,0.234227744762591,0.258876670462036,0.271067631032512,0.418995544754962,0.33531746031746,0.525912988250238,0.698614496472098,0.777226186782501
Plácido de Castro,1200385,AC,0.166627003014438,0.150013375311233,0.163148716517857,0.214804193223541,0.246714689412458,0.286384383763951,0.291729485144944,0.285079237251575,0.283730593783992,0.253375700423671,0.237038577746639,0.390650708692636,0.372244110990024,0.431914627080691,0.503313013517095,0.703695649090625
Senador Guiomard,1200450,AC,0.209100535084175,0.216518162748396,0.222530303628539,0.260454622787357,0.288695318985887,0.315547535463533,0.31339684545384,0.366749271137026,0.390474676838313,0.390036412110228,0.437784404302261,0.531275093451475,0.525654340656801,0.592981784822484,0.644389927415758,0.690832562385507
Porto Acre,1200807,AC,0.215141301304604,0.177156411945084,0.161086123604864,0.165057092451721,0.182778164186271,0.197789471073048,0.189771056500735,0.232872844344166,0.289226042846791,0.302226756261165,0.254859611231102,0.349903718203164,0.37417347387676,0.39964854358592,0.408661489195007,0.507671392503399
Brasiléia,1200104,AC,0.196173523446251,0.168410747533713,0.224923677493619,0.217488755252917,0.181351221191859,0.236255618575417,0.236612902807091,0.31039697624565,0.247556293665073,0.323830598860308,0.296326974696041,0.386881832179337,0.366234379696827,0.457807972124703,0.522945755340122,0.635286081645773
Epitaciolândia,1200252,AC,0.183930293819656,0.135839432246618,0.188486875443397,0.202051842799254,0.21917478618062,0.189054311864571,0.193995208146152,0.248734367829279,0.324311784720074,0.211007217751482,0.258912855910267,0.43664796872344,0.437082513936518,0.491535698820653,0.508793073593074,0.533786848072562
Xapuri,1200708,AC,0.316724205145105,0.293726555556113,0.317853886417723,0.316481703805647,0.340615566650773,0.320109759772726,0.424175824175824,0.426259556713214,0.457797878519115,0.428609446796459,0.405341840536513,0.465716923888669,0.500914452458747,0.580542031807855,0.687603165149324,0.675662740699196
Barcelos,1300409,AM,0.299026083750653,0.295094836244415,0.308409506398537,0.302299889094903,0.424124084235049,0.37396267140128,0.460960820895522,0.448888342199945,0.468845705209342,0.642031972024479,0.650573808118565,0.596973946082866,0.633138528138528,0.537593664692439,0.598773065591565,0.704301493754402
Novo Airão,1303205,AM,0.30764525191,0.274188848012696,0.233293837353005,0.311015262110153,0.276247467071935,0.313457027084666,0.277656899190903,0.495313363007245,0.532749037114846,0.639641708773542,0.551030303030303,0.627832633917551,0.646365641841892,0.636972074774983,0.67989010989011,0.724376612209802
Santa Isabel do Rio Negro,1303601,AM,0.55082475042679,0.584941181973386,0.702310590205107,0.646710642040457,0.628652652652653,0.562247779245489,0.549358328814522,0.518761526457654,0.55319829424307,0.485185185185185,0.659295885529605,0.680006168555787,0.732934578366826,0.638080084858128,0.756730536017463,0.898691226369365
São Gabriel da Cachoeira,1303809,AM,0.477226446798815,0.555538348948329,0.543430492943746,0.556895472778194,0.561682329401484,0.596393226374865,0.605041831416119,0.645541228735508,0.550039427887753,0.715458006289984,0.672836145890038,0.698416837822253,0.767519379844961,0.763384093309707,0.79228855721393,0.868112229701555
Japurá,1302108,AM,0.435417041974419,0.463666631121222,0.521543681085666,0.533415502602027,0.397752407337072,0.527373475057374,0.590313668740251,0.618813194099121,0.660424469413233,0.776134122287969,0.628111641941162,0.709703723838,0.671776375112714,0.586298932384342,0.615601503759398,0.491078669910787
Maraã,1302801,AM,0.519654128333527,0.466558812608798,0.433031922760019,0.406967217260249,0.438159944805655,0.43844270012856,0.483648679778604,0.567142618189559,0.515604151223128,0.510367771633673,0.503183508872998,0.570620982923077,0.501089584955504,0.606428414084699,0.68205284490903,NA
Amaturá,1300060,AM,0.370650347972162,0.39993115022161,0.377592842505123,0.423190481379432,0.457546012269939,0.331518348363678,0.385172152494099,0.331752115271844,0.397592407592408,0.455564233645745,0.552544394381129,0.558387385116087,0.636759108210984,0.451643137484623,0.624299616632262,NA
Atalaia do Norte,1300201,AM,0.444322712603275,0.479150411790204,0.441619305230526,0.499357699320404,0.486866342469791,0.570288036571019,0.610818397257437,0.638469885408345,0.658669609079445,0.680160827386195,0.753745813502556,0.835997631734754,0.686113789778206,0.781033153430995,0.804453994920883,0.820152946468736
Benjamin Constant,1300607,AM,0.298535109781796,0.353176144244105,0.358778690053555,0.298142461328079,0.341153952941593,0.306638774003922,0.350988434810968,0.314004636789319,0.31077148771126,0.353249014360125,0.396389216907249,0.403040955593721,0.429942384104219,0.499780463555548,0.541065910529475,0.663925229631141
Fonte Boa,1301605,AM,0.426664656262827,0.456777507512262,0.451419231184089,0.381641291047321,0.366336513485301,0.443683198343134,0.492556504578952,0.482881419939577,0.553552153164413,0.7183709439455,0.82224458983392,0.62887323943662,0.611156494340063,0.598110979929162,0.876701451905626,0.821717739439258
Jutaí,1302306,AM,0.513397203883176,0.485282953761215,0.45570589767983,0.47317421987487,0.484344674705888,0.533390600073629,0.611013473930873,0.586923886705246,0.66526229675836,0.663109825277967,0.598117855898601,0.729709108249881,0.667978533094812,0.745409878458754,0.789479961832061,0.815475392248894
Santo Antônio do Içá,1303700,AM,0.43002652900426,0.399660978858309,0.361297918581306,0.47614150555327,0.4908642825696,0.482612093557906,0.493945029683563,0.565751263185888,0.518900927173505,0.541599135602377,0.682432967485469,0.634529566000389,0.814231418918919,0.715551064585412,0.717930808687111,0.978516083587697
São Paulo de Olivença,1303908,AM,0.528450562363606,0.594358329374287,0.5930804453247,0.598692679756534,0.575191814714578,0.582149322132299,0.528236739013943,0.597843574091296,0.518397442882569,0.518749085410468,0.621305166625727,0.597568209470742,0.60743625788313,0.725256364553124,0.769433465085639,0.909578696343402
Tabatinga,1304062,AM,0.384395817299442,0.410571331736817,0.392480789858614,0.404695576240641,0.409733262674439,0.399209179023838,0.401378537586563,0.398742789176331,0.421606752220329,0.451395249435183,0.392607515114486,0.406930081357146,0.421831668354979,0.473828918831224,0.640122715010462,0.792530432800813
Tonantins,1304237,AM,0.432264101168983,0.478296023043105,0.536368048288518,0.48170723790977,0.460211234942553,0.611097029960356,0.647457694459804,0.804155435759209,0.842363654666677,0.852631578947368,0.785592202512934,0.767426479219149,0.916666666666667,0.943531016100789,975,0.990825688073395
Carauari,1301001,AM,0.312373562650325,0.304873841534266,0.326243950393224,0.36007332569524,0.370222596112497,0.411560430966042,0.421277371562362,0.399973686183482,0.472687739768485,0.520153965275917,0.496684001223616,0.527674661834948,0.647011909083294,0.645894333888548,0.703447082310911,0.922756867797082
Eirunepé,1301407,AM,0.579411026486115,0.630134142918347,0.615650274514434,0.597491007593588,0.626299372379719,0.633583924251465,0.626237365561172,0.666169061392051,0.676061502820946,0.770902313965149,0.77648361958873,0.781754014875444,0.824346229432945,0.917196763488571,0.978752269154453,0.960195324060373
Envira,1301506,AM,0.518567397501987,0.536017331648312,0.564483618598613,0.320208919244677,0.544153501072752,0.608258459185624,0.643617021276596,0.49423604757548,0.651359943482868,0.678120262758969,0.943556443556444,0.80156275435455,0.732379979570991,0.808552309449976,0.922220318656844,0.928644978476975
Guajará,1301654,AM,0.217130762953896,0.220876985582868,0.206877983489745,0.296184531886024,0.327216452384029,0.324887273939958,0.322749585717412,0.399559029446801,0.420676538086705,0.517591026208261,0.500820075446941,0.616455280997157,0.656138938249667,0.706391478029294,0.739162201656113,0.941400666984278
Ipixuna,1301803,AM,0.527285143406343,0.452648475120385,0.32312432190686,0.380037671476295,0.438362753940643,0.543328498912255,0.641039444063815,0.684165728563192,0.744991987179487,0.870973963355834,0.861388113282808,0.885708401976936,0.953092994674314,0.963461931006328,0.960189573459716,0.960392078415683
Itamarati,1301951,AM,0.466054837978699,0.488486734716086,0.376849642004773,0.439358288770053,0.515916057533601,0.520749347877638,0.502636625119847,0.504945598417408,0.565261044176707,0.617619047619048,0.621047772905608,0.909778102901731,0.911699233242642,0.758409785932722,0.709747817652764,0.95668449197861
